config,branch,initial_soc_kwh,terminal_mode,terminal_value_coefficient,terminal_reference_scenario_mean,terminal_efficiency_basis,scenario_mean_price_min,scenario_mean_price_median,issue_date,issue_hour,kind,objective_value,scenario_count,status,solve_seconds,tiebreak_used,binary_fallback_used,max_balance_residual_kwh,max_soc_residual_kwh,max_simultaneous_product_kwh2,max_delta_product_kwh2,min_variable_value_kwh,min_soc_kwh,max_soc_kwh,max_charge_kwh,max_discharge_kwh,highs_max_primal_infeasibility,simplex_iterations,ipm_iterations,mip_gap
43-no-value-refresh,4-3,6000.0,overnight,0.4114340068402883,0.37029060615625947,charge,0.2960410378220992,0.7478261273792299,2025-02-01,0,original,16679.848724310745,28,Optimal,0.3087859000079334,False,False,1.1368683772161603e-13,3.524291969370097e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,641.1209750635165,0.0,10621,0,
43-no-value-refresh,4-3,10219.47155158344,overnight,0.522939448550431,0.4706455036953878,charge,0.2987112272418642,0.7487860875911908,2025-02-01,6,rolling,18519.44228153374,28,Optimal,0.25183239999751095,False,False,1.1368683772161603e-13,1.4672707493446069e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333335,833.3333333333334,1.1368683772161603e-13,9784,0,
43-no-value-refresh,4-3,7370.0,overnight,0.5254812153602633,0.472933093824237,charge,0.18700068714647758,0.6352492055267702,2025-02-01,12,rolling,31975.69030737072,28,Optimal,0.43813540000701323,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,1.1368683772161603e-13,11086,0,
43-no-value-refresh,4-3,10309.255638307593,overnight,0.5208890344438905,0.4688001309995014,charge,0.34148246323024856,0.9172808299513635,2025-02-01,18,rolling,44356.942488881534,28,Optimal,0.425924400013173,False,False,1.1368683772161603e-13,2.1600499167107046e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333335,833.3333333333334,1.1368683772161603e-13,11230,0,
43-no-value-refresh,4-3,10444.26648946668,overnight,0.5254144003106239,0.47287296027956155,charge,0.37650797911623346,0.9614305795346247,2025-02-02,0,original,59875.36819422861,29,Optimal,0.8204235000011977,False,False,1.4779288903810084e-11,7.275957614183426e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,14442,0,
43-no-value-refresh,4-3,10800.0,overnight,0.5236426670116183,0.4712784003104565,charge,0.34856244824592897,0.9259344590563241,2025-02-02,6,rolling,56204.26040506443,29,Optimal,0.37858660001074895,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,-2.2737367544323206e-13,1200.0,10800.0,833.3333333333335,833.3333333333334,2.2737367544323206e-13,11175,0,
43-no-value-refresh,4-3,8070.0,overnight,0.5245376593148758,0.4720838933833883,charge,0.34415719137030604,0.9189888698410154,2025-02-02,12,rolling,57874.28364992061,29,Optimal,0.4317506999941543,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,-1.1368683772161603e-13,1200.0,10800.0,833.3333333333334,833.3333333333334,1.1368683772161603e-13,11291,0,
43-no-value-refresh,4-3,10800.0,overnight,0.5223120138327331,0.4700808124494598,charge,0.38970167914857445,0.9622268252829896,2025-02-02,18,rolling,54224.925764594176,29,Optimal,0.5060594000096899,False,False,1.1368683772161603e-13,1.1368683772161603e-12,0.0,0.0,0.0,1199.9999999999998,10800.0,833.3333333333334,833.3333333333334,2.2737367544323206e-13,11670,0,
43-no-value-refresh,4-3,10800.0,overnight,0.5155236640139923,0.4639712976125931,charge,0.3699182012259506,0.9440227006427866,2025-02-03,0,original,55683.98729576446,30,Optimal,0.8944221999990987,False,False,3.9335645851679146e-11,4.3655745685100555e-11,0.0,0.0,-5.4569682106375694e-12,1200.0,10800.000000000002,833.3333333333334,833.3333333333334,5.4569682106375694e-12,14607,0,
43-no-value-refresh,4-3,10641.590252466423,overnight,0.5137718813815755,0.4623946932434179,charge,0.3766728635749665,0.9519318385382614,2025-02-03,6,rolling,55432.00631500162,30,Optimal,0.37070390000008047,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,-6.821210263296962e-13,1200.0,10800.0,833.3333333333335,833.3333333333334,6.821210263296962e-13,11497,0,
