branch,date,plan_type,10:00-10:10,10:00-10:10_template_column,12:00-12:10,12:00-12:10_template_column,14:00-14:10,14:00-14:10_template_column,16:00-16:10,16:00-16:10_template_column,18:00-18:10,18:00-18:10_template_column,20:00-20:10,20:00-20:10_template_column,display_window_energy_kwh,display_window_plan_cost_yuan,display_window_adjustment_surcharge_yuan
4-2,2025-03-14,original,0.0,61,0.0,73,0.0,85,104.27492081216965,97,0.0,109,0.0,121,30625.592155245406,12254.629585996645,0.0
4-2,2025-03-15,original,0.0,61,0.0,73,0.0,85,82.34912735698629,97,0.0,109,0.0,121,31373.75745479174,12930.806319119547,0.0
4-2,2025-03-16,original,0.0,61,641.9608254544579,73,0.0,85,515.4550007892991,97,0.0,109,0.0,121,71659.38196409873,45071.02954375233,0.0
4-2,2025-03-17,original,0.0,61,575.5986687256399,73,0.0,85,535.4175584934153,97,0.0,109,0.0,121,69383.12649662039,42691.03116441188,0.0
4-2,2025-03-18,original,0.0,61,482.97919987413604,73,0.0,85,525.6375266540872,97,0.0,109,0.0,121,65821.1472405639,40951.71518284874,0.0
4-2,2025-03-19,original,0.0,61,469.72349785304925,73,0.0,85,501.42968312707785,97,0.0,109,551.1155862952546,121,65681.87166646465,40617.99742187865,0.0
4-2,2025-03-20,original,0.0,61,446.6715396956124,73,0.0,85,464.55761630018856,97,0.0,109,672.0100576155144,121,64537.26722135022,40242.74334295586,0.0
4-2,2025-03-21,original,0.0,61,0.0,73,0.0,85,62.19938951899914,97,0.0,109,0.0,121,30902.17670150721,11986.872285145953,0.0
4-2,2025-03-22,original,0.0,61,0.0,73,0.0,85,2.2887341055607298,97,0.0,109,0.0,121,30423.58214699787,12212.911766072295,0.0
4-2,2025-03-23,original,0.0,61,433.5376446559849,73,0.0,85,516.2028139424838,97,0.0,109,691.1502815996348,121,66088.48032285913,40672.00426764136,0.0
4-2,2025-03-24,original,0.0,61,428.0526570830526,73,0.0,85,485.5415070866836,97,0.0,109,659.2905502726727,121,65128.70736930949,40221.70770545376,0.0
4-2,2025-03-25,original,0.0,61,412.6325397175756,73,0.0,85,492.2036197400066,97,0.0,109,650.6371773900208,121,64512.27653385089,39867.6303207597,0.0
4-2,2025-03-26,original,0.0,61,455.56249151283134,73,0.0,85,500.94648575302483,97,0.0,109,667.4505387457903,121,65861.30947055848,40323.62332429891,0.0
4-2,2025-03-27,original,0.0,61,442.89822295832096,73,0.0,85,496.9513894083236,97,0.0,109,690.3994504943099,121,62849.63196913191,38352.92812257323,0.0
4-2,2025-03-28,original,0.0,61,0.0,73,0.0,85,40.06368168492588,97,0.0,109,0.0,121,30115.937218196068,11734.651859916905,0.0
4-2,2025-03-29,original,0.0,61,0.0,73,0.0,85,0.0,97,0.0,109,0.0,121,29548.26743170725,11527.050113427189,0.0
4-2,2025-03-30,original,0.0,61,352.0215678502137,73,0.0,85,573.2882185538047,97,0.0,109,688.4082837836635,121,61610.49175789667,36821.02145892446,0.0
4-2,2025-03-31,original,0.0,61,367.3697836678223,73,0.0,85,507.5429055902024,97,0.0,109,665.0198454765051,121,60649.26917362674,36980.112096118195,0.0
4-2,2025-04-01,original,0.0,61,449.44144580423244,73,0.0,85,473.6979633677124,97,0.0,109,664.0981963714343,121,61649.58324759234,38199.89105463401,0.0
4-2,2025-04-02,original,0.0,61,582.7770684996575,73,0.0,85,496.0654942397059,97,0.0,109,687.7435456351606,121,64999.02266057813,39094.64339014867,0.0
4-2,2025-04-03,original,0.0,61,615.392334729194,73,0.0,85,463.0505866587239,97,0.0,109,685.3767744909599,121,65899.98481364976,40111.476260764684,0.0
4-2,2025-04-04,original,0.0,61,0.0,73,0.0,85,0.0,97,0.0,109,0.0,121,29242.721584751547,11165.339706460272,0.0
4-2,2025-04-05,original,0.0,61,0.0,73,0.0,85,0.0,97,0.0,109,0.0,121,28860.96911428671,11453.829832069885,0.0
4-2,2025-04-06,original,0.0,61,381.0242787548241,73,0.0,85,476.4005521031039,97,0.0,109,677.5925379090946,121,62838.410549914945,38122.41351750675,0.0
4-2,2025-04-07,original,0.0,61,436.0683063361738,73,0.0,85,451.4676718769331,97,0.0,109,673.4894103065843,121,60937.697040945815,36988.03715366858,0.0
4-2,2025-04-08,original,0.0,61,481.5740977529298,73,0.0,85,444.5050501062244,97,0.0,109,677.6243380067626,121,60468.40534466653,36068.12406004773,0.0
