date,config,branch,terminal_mode,updates_solved,dp_initial_soc_kwh,dp_terminal_soc_kwh,analytical_initial_soc_kwh,analytical_terminal_soc_kwh,g0_energy_kwh,geff_energy_kwh,adjust_up_energy_kwh,adjust_down_energy_kwh,adjust_abs_energy_kwh,dp_charge_kwh,dp_discharge_kwh,dp_emergency_energy_kwh,dp_unused_kwh,plan_cost_yuan,effective_base_cost_yuan,adjustment_transaction_yuan,adjustment_surcharge_yuan,dp_emergency_cost_yuan,dp_total_cost_yuan,dp_total_cost_alt_yuan,billing_identity_residual_yuan,analytical_emergency_energy_kwh,analytical_emergency_cost_yuan,analytical_total_cost_yuan,dp_max_balance_residual_kwh,dp_max_soc_residual_kwh,dp_max_simultaneous_product_kwh2,dp_max_convexity_violation,analytical_max_balance_residual_kwh,analytical_max_soc_residual_kwh
2025-02-01,43-terminal-minimum,4-3,minimum,4,6000.0,1982.138122792455,6000.0,1982.138122792455,37959.53701754843,36887.009517891354,41.46083574481713,1113.9883354018855,1155.4491711467026,14541.558368015343,15394.737967579218,0.0,3362.0131841219,16651.886284572345,16175.60511219399,-225.57066459898584,250.71050777936705,0.0,16426.31561997336,16426.31561997336,0.0,0.0,0.0,16426.31561997336,8.810729923425242e-13,1.1368683772161603e-13,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
2025-02-02,43-terminal-minimum,4-3,minimum,4,1982.138122792455,2297.2175090998585,1982.138122792455,2297.2175090998585,88740.92401216019,87854.6507289643,0.0,886.2732831958682,886.2732831958682,20487.668107300666,16311.439719236878,0.0,5322.144390900532,62927.57284062437,62214.18159845428,-356.6956210850475,356.6956210850475,0.0,62570.877219539325,62570.877219539325,0.0,0.0,0.0,62570.877219539325,1.0089706847793423e-12,1.1368683772161603e-13,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
2025-02-03,43-terminal-minimum,4-3,minimum,4,2297.2175090998585,1691.167363044294,2297.2175090998585,1691.167363044294,84920.0501642707,84344.72869340915,0.0,575.321470861539,575.321470861539,21613.929049140963,18052.72766125419,0.0,566.6108055223807,60938.33689047392,60401.013586906956,-268.66165178348285,268.66165178348285,0.0,60669.67523869043,60669.67523869044,7.275957614183426e-12,0.0,0.0,60669.67523869043,8.846257060213247e-13,1.1368683772161603e-13,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
2025-02-04,43-terminal-minimum,4-3,minimum,4,1691.167363044294,1507.8832824345927,1691.167363044294,1507.8832824345927,85719.95758895598,85854.5062608981,309.27277525663396,174.72410331452244,483.9968785711564,22903.092511625124,18716.460606965084,0.0,473.01040623804806,61348.15936069906,61415.7148232759,270.19603381151785,202.64057123467737,0.0,61618.355394510574,61618.355394510574,0.0,0.0,0.0,61618.355394510574,9.983125437429408e-13,5.684341886080802e-14,0.0,2.9105606813573104e-12,0.0,8.988365607365267e-13
2025-02-05,43-terminal-minimum,4-3,minimum,4,1507.8832824345927,1524.1459159265335,1507.8832824345927,1524.1459159265335,85169.19585326624,86030.67589737644,946.5846952214404,85.10465111123477,1031.689346332675,23439.05839980267,18971.000933697418,26.47958333333395,840.6710312712044,60979.5135768143,61658.923863969656,1126.2239287946195,446.8136416392636,183.34463500000427,62289.08214060892,62289.08214060892,0.0,26.479583333333267,183.34463499999956,62289.08214060892,9.663381206337363e-13,5.684341886080802e-14,0.0,4.3653969328261155e-12,0.0,9.094947017729282e-13
2025-02-06,43-terminal-minimum,4-3,minimum,4,1524.1459159265335,1554.3620180879564,1524.1459159265335,1554.3620180879564,86564.79377578359,84981.55985849682,0.0,1583.2339172867667,1583.2339172867667,22403.915654058612,18119.977187842193,18.492480730059242,445.05665634381836,61987.320755915876,60597.41786731937,-694.9514442982543,694.9514442982543,133.79309808197863,61426.1624096996,61426.1624096996,0.0,18.49248073005856,133.79309808197368,61426.162409699595,1.0089706847793423e-12,5.684341886080802e-14,0.0,3.637978807091713e-12,0.0,9.094947017729282e-13
2025-02-07,43-terminal-minimum,4-3,minimum,4,1554.3620180879564,1968.0631294783361,1554.3620180879564,1968.0631294783361,41273.70988206363,40696.686161083664,0.0,577.0237209799706,577.0237209799706,19455.750759589595,15386.827115016233,0.0,4822.082849843637,17417.72442095673,17203.10922260824,-107.30759917424612,107.30759917424612,0.0,17310.416821782484,17310.416821782484,0.0,0.0,0.0,17310.416821782484,9.876544027065393e-13,1.1368683772161603e-13,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
2025-02-08,43-terminal-minimum,4-3,minimum,4,1968.0631294783361,1440.0465403225255,1968.0631294783361,1440.0465403225255,36794.41917825113,36873.433835567776,79.0146573166433,0.0,79.0146573166433,18598.06826601321,15539.650225710931,0.0,2237.8530785988332,15464.381403206948,15493.077611028903,43.044311732931334,14.34810391097711,0.0,15507.425714939878,15507.42571493988,1.8189894035458565e-12,0.0,0.0,15507.425714939878,9.094947017729282e-13,2.842170943040401e-14,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
2025-02-09,43-terminal-minimum,4-3,minimum,4,1440.0465403225255,1375.2696079453553,1440.0465403225255,1375.2696079453553,83503.60981346437,83963.4489802676,459.839166803229,0.0,459.839166803229,23483.485886854458,19079.922807491566,19.924122463410228,24.394056701444356,58590.16123231027,58900.8112265953,465.97499142754947,155.32499714251648,98.72600133829137,59154.86222507611,59154.86222507611,0.0,19.924122463410228,98.72600133829137,59154.86222507611,1.0089706847793423e-12,1.1368683772161603e-13,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
2025-02-10,43-terminal-minimum,4-3,minimum,4,1375.2696079453553,1353.8985982852405,1375.2696079453553,1353.8985982852405,83445.28869521891,82369.80142104706,0.0,1075.4872741718477,1075.4872741718477,21021.886941498546,17046.96233130793,0.0,4068.2392275231077,57000.4263518646,56145.8852083914,-427.2705717365997,427.2705717365997,0.0,56573.155780128,56573.155780128,0.0,0.0,0.0,56573.155780128,1.0231815394945443e-12,5.684341886080802e-14,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
