config,branch,initial_soc_kwh,terminal_mode,terminal_value_coefficient,terminal_reference_scenario_mean,terminal_efficiency_basis,scenario_mean_price_min,scenario_mean_price_median,issue_date,issue_hour,kind,objective_value,scenario_count,status,solve_seconds,tiebreak_used,binary_fallback_used,max_balance_residual_kwh,max_soc_residual_kwh,max_simultaneous_product_kwh2,max_delta_product_kwh2,min_variable_value_kwh,min_soc_kwh,max_soc_kwh,max_charge_kwh,max_discharge_kwh,highs_max_primal_infeasibility,simplex_iterations,ipm_iterations,mip_gap
42-terminal-median,4-2,6000.0,median,0.6716712510092998,0.7463013900103331,discharge_sensitivity,0.2954397703153083,0.7463013900103331,2025-02-01,0,original,13954.592818923811,28,Optimal,0.41813409999303985,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,642.3539042343359,0.0,10619,0,
42-terminal-median,4-2,10172.818150451338,median,0.6747760443719089,0.7497511604132321,discharge_sensitivity,0.29859185228783375,0.7497511604132321,2025-02-01,6,fixed_current_value_refresh,17450.532872454678,28,Optimal,0.35391409999283496,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,9302,0,
42-terminal-median,4-2,6820.0,median,0.5710574600962041,0.6345082889957823,discharge_sensitivity,0.18696408336339512,0.6345082889957823,2025-02-01,12,fixed_current_value_refresh,30903.106118331227,28,Optimal,0.4871368000021903,False,False,2.2737367544323206e-13,1.0231815394945443e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,10051,0,
42-terminal-median,4-2,10297.979665778685,median,0.8284508748455907,0.9205009720506563,discharge_sensitivity,0.34148248042804985,0.9205009720506563,2025-02-01,18,fixed_current_value_refresh,44233.56587383507,28,Optimal,0.6279709999944316,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,11143,0,
42-terminal-median,4-2,10800.0,median,0.8645977596501297,0.960664177389033,discharge_sensitivity,0.3762053547241539,0.960664177389033,2025-02-02,0,original,56304.36909887687,29,Optimal,1.0263783000118565,False,False,7.310063665499911e-11,5.093170329928398e-11,0.0,0.0,-5.1159076974727213e-11,1200.0,10800.000000000047,833.3333333333334,833.3333333333334,5.1159076974727213e-11,14693,0,
42-terminal-median,4-2,10800.0,median,0.8341588483870102,0.9268431648744557,discharge_sensitivity,0.348469801937597,0.9268431648744557,2025-02-02,6,fixed_current_value_refresh,53789.48458771179,29,Optimal,0.3700416000065161,False,False,2.2737367544323206e-13,1.0231815394945443e-12,0.0,0.0,-9.094947017729282e-13,1199.9999999999907,10800.000000000007,833.3333333333334,833.3333333333334,9.322320693172514e-12,9794,0,
42-terminal-median,4-2,8010.0,median,0.8271994068167277,0.9191104520185863,discharge_sensitivity,0.34416426890186047,0.9191104520185863,2025-02-02,12,fixed_current_value_refresh,56496.43594151088,29,Optimal,0.5916068000078667,False,False,2.2737367544323206e-13,1.0231815394945443e-12,0.0,0.0,-9.094947017729282e-13,1200.0,10800.000000000007,833.3333333333334,833.3333333333334,7.275957614183426e-12,10781,0,
42-terminal-median,4-2,10800.0,median,0.8660041460972584,0.9622268289969538,discharge_sensitivity,0.38970169628656554,0.9622268289969538,2025-02-02,18,fixed_current_value_refresh,53682.005611046756,29,Optimal,0.7214850000018487,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,11320,0,
42-terminal-median,4-2,10800.0,median,0.8463416925833499,0.9403796584259443,discharge_sensitivity,0.368477411142677,0.9403796584259443,2025-02-03,0,original,51632.29655374143,30,Optimal,1.0516326999932062,False,False,1.6757439880166203e-10,1.5825207810848951e-10,0.0,0.0,-9.279127174235543e-12,1199.9999999999998,10800.0,833.3333333333334,833.3333333333334,9.279127174235543e-12,14291,0,
42-terminal-median,4-2,10664.339389265057,median,0.8567448646438156,0.9519387384931284,discharge_sensitivity,0.37667229899403065,0.9519387384931284,2025-02-03,6,fixed_current_value_refresh,52376.05470025805,30,Optimal,0.41866930000833236,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,-3.524291969370097e-12,1199.9999999999989,10800.00000000001,833.3333333333334,833.3333333333334,9.094947017729282e-12,10181,0,
42-terminal-median,4-2,7491.092423483293,median,0.8356637439387187,0.9285152710430207,discharge_sensitivity,0.3550387094436668,0.9285152710430207,2025-02-03,12,fixed_current_value_refresh,53381.43015779823,30,Optimal,0.5468020999978762,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,-2.5011104298755527e-12,1199.9999999999989,10800.00000000001,833.3333333333334,833.3333333333334,9.094947017729282e-12,10981,0,
42-terminal-median,4-2,10663.208549222012,median,0.8522356637585206,0.9469285152872451,discharge_sensitivity,0.37176037440447207,0.9469285152872451,2025-02-03,18,fixed_current_value_refresh,49684.685177296924,30,Optimal,0.609507000001031,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,11374,0,
42-terminal-median,4-2,10612.212470597638,median,0.8501797562608321,0.9446441736231468,discharge_sensitivity,0.3718080325884164,0.9446441736231468,2025-02-04,0,original,51784.75958120783,30,Optimal,0.8808933999971487,False,False,2.7398527890909463e-11,1.566391460983141e-11,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,13575,0,
42-terminal-median,4-2,10787.155847464914,median,0.8514107178744438,0.9460119087493819,discharge_sensitivity,0.3735684847612197,0.9460119087493819,2025-02-04,6,fixed_current_value_refresh,51693.91515286388,30,Optimal,0.3400528999918606,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,-9.549694368615746e-12,1200.0,10800.000000000005,833.3333333333334,833.3333333333334,9.549694368615746e-12,10147,0,
42-terminal-median,4-2,6530.596534474759,median,0.8817676421055097,0.9797418245616775,discharge_sensitivity,0.4018818146968189,0.9797418245616775,2025-02-04,12,fixed_current_value_refresh,56264.942195765034,30,Optimal,0.5924645999912173,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,-7.958078640513122e-13,1200.0,10800.0,833.3333333333334,833.3333333333334,7.958078640513122e-13,10991,0,
42-terminal-median,4-2,9967.284327706393,median,0.8363961128790777,0.9293290143100863,discharge_sensitivity,0.35019320017011507,0.9293290143100863,2025-02-04,18,fixed_current_value_refresh,50937.27141137436,30,Optimal,0.6496486000105506,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,-9.549694368615746e-12,1200.0,10800.0,833.3333333333334,833.3333333333334,9.549694368615746e-12,11741,0,
42-terminal-median,4-2,10294.778323711611,median,0.8476438227680804,0.9418264697423115,discharge_sensitivity,0.3714898655618171,0.9418264697423115,2025-02-05,0,original,52349.35522897097,30,Optimal; tiebreak=Optimal,2.9052583999873605,True,False,2.5437429940211587e-12,5.4569682106375694e-12,0.0,0.0,-3.410605131648481e-13,1200.0,10800.0,833.3333333333334,833.3333333333334,3.410605131648481e-13,13965,0,
42-terminal-median,4-2,10101.704811877511,median,0.8523209641320836,0.9470232934800928,discharge_sensitivity,0.3748722051147808,0.9470232934800928,2025-02-05,6,fixed_current_value_refresh,53196.29397695,30,Optimal,0.34790910000447184,False,False,1.1368683772161603e-13,3.4221514511045825e-12,0.0,0.0,0.0,1200.0,10800.000000000002,833.3333333333334,833.3333333333334,1.8189894035458565e-12,10082,0,
42-terminal-median,4-2,5979.79130866148,median,0.8558764147237077,0.950973794137453,discharge_sensitivity,0.37515611135522975,0.950973794137453,2025-02-05,12,fixed_current_value_refresh,56037.35388125016,30,Optimal,0.49777099999482743,False,False,1.1368683772161603e-13,2.8990143619012088e-12,0.0,0.0,0.0,1200.0,10800.000000000002,833.3333333333334,833.3333333333334,1.8189894035458565e-12,11028,0,
42-terminal-median,4-2,10800.0,median,0.8259538127805203,0.9177264586450224,discharge_sensitivity,0.33758395250302814,0.9177264586450224,2025-02-05,18,fixed_current_value_refresh,48109.8343798004,30,Optimal,0.7211527000035858,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,0.0,11777,0,
42-terminal-median,4-2,10777.41084200983,median,0.847062657091722,0.9411807301019134,discharge_sensitivity,0.3683548504343974,0.9411807301019134,2025-02-06,0,original,52346.87931876477,30,Optimal,1.254076500001247,False,False,5.543276948571929e-11,6.972733501697803e-11,0.0,0.0,0.0,1200.0,10800.000000000005,833.3333333333334,833.3333333333334,5.4569682106375694e-12,14763,0,
42-terminal-median,4-2,10600.27356457108,median,0.8622829914413698,0.9580922127126331,discharge_sensitivity,0.3210654211589132,0.9580922127126331,2025-02-06,6,fixed_current_value_refresh,49129.38435802992,30,Optimal,0.4548704000044381,False,False,2.2737367544323206e-13,9.094947017729282e-13,0.0,0.0,-9.094947017729282e-13,1200.0,10800.000000000011,833.3333333333334,833.3333333333334,1.0913936421275139e-11,10248,0,
42-terminal-median,4-2,7904.116515947628,median,0.7331516306573015,0.8146129229525572,discharge_sensitivity,0.3219624221236152,0.8146129229525572,2025-02-06,12,fixed_current_value_refresh,38611.87069988753,30,Optimal,0.5289019000047119,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,-9.094947017729282e-13,1200.0,10800.000000000011,833.3333333333334,833.3333333333334,1.0913936421275139e-11,10403,0,
42-terminal-median,4-2,10777.911230504274,median,0.6885686732218007,0.7650763035797785,discharge_sensitivity,0.322903220320618,0.7650763035797785,2025-02-06,18,fixed_current_value_refresh,19935.265793873794,30,Optimal,0.4783093000005465,False,False,2.2737367544323206e-13,9.663381206337363e-13,0.0,0.0,-1.1368683772161603e-13,1200.0,10800.0,833.3333333333334,776.0093507229859,1.1368683772161603e-13,10404,0,
42-terminal-median,4-2,10800.0,median,0.6619624999777519,0.7355138888641688,discharge_sensitivity,0.2891946926006035,0.7355138888641688,2025-02-07,0,original,10997.10516472646,30,Optimal,0.64478699999745,False,False,2.290789780090563e-11,2.546585164964199e-11,0.0,0.0,0.0,1200.0,10800.00000000001,833.3333333333334,833.3333333333334,9.094947017729282e-12,11273,0,
42-terminal-median,4-2,10009.682588948232,median,0.6624539102348946,0.736059900260994,discharge_sensitivity,0.2907386366439344,0.736059900260994,2025-02-07,6,fixed_current_value_refresh,11504.004457864357,30,Optimal,0.433327000006102,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,-1.6143530956469476e-11,1199.999999999999,10800.0,833.3333333333334,833.3333333333334,1.6143530956469476e-11,9987,0,
42-terminal-median,4-2,7420.0,median,0.5737997861614023,0.6375553179571136,discharge_sensitivity,0.20677869709020053,0.6375553179571136,2025-02-07,12,fixed_current_value_refresh,11497.455363200193,30,Optimal,0.5040850999939721,False,False,2.2737367544323206e-13,1.0231815394945443e-12,0.0,0.0,-1.6143530956469476e-11,1199.9999999999989,10800.0,833.3333333333334,833.3333333333334,1.6143530956469476e-11,10354,0,
42-terminal-median,4-2,10290.618518518519,median,0.6781283033870031,0.7534758926522257,discharge_sensitivity,0.3204713596505537,0.7534758926522257,2025-02-07,18,fixed_current_value_refresh,11407.980855512864,30,Optimal,0.4606454000022495,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,-1.6143530956469476e-11,1200.0,10800.0,833.3333333333334,833.3333333333334,1.6143530956469476e-11,10522,0,
42-terminal-median,4-2,10800.0,median,0.6437416270044131,0.7152684744493478,discharge_sensitivity,0.27972069834638913,0.7152684744493478,2025-02-08,0,original,9080.045762849442,30,Optimal,0.4782271000003675,False,False,9.094947017729282e-12,1.0686562745831907e-11,0.0,0.0,-9.094947017729282e-13,1200.0,10800.000000000002,833.3333333333334,833.3333333333334,1.8189894035458565e-12,11261,0,
42-terminal-median,4-2,8904.595777099326,median,0.6552650585872359,0.728072287319151,discharge_sensitivity,0.2911512569886812,0.728072287319151,2025-02-08,6,fixed_current_value_refresh,14750.578370433263,30,Optimal,0.3902047999872593,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,-1.1368683772161603e-13,1199.9999999999945,10800.000000000004,833.3333333333334,833.3333333333334,5.4569682106375694e-12,9840,0,
