date,config,branch,terminal_mode,updates_solved,dp_initial_soc_kwh,dp_terminal_soc_kwh,analytical_initial_soc_kwh,analytical_terminal_soc_kwh,g0_energy_kwh,geff_energy_kwh,adjust_up_energy_kwh,adjust_down_energy_kwh,adjust_abs_energy_kwh,dp_charge_kwh,dp_discharge_kwh,dp_emergency_energy_kwh,dp_unused_kwh,plan_cost_yuan,effective_base_cost_yuan,adjustment_transaction_yuan,adjustment_surcharge_yuan,dp_emergency_cost_yuan,dp_total_cost_yuan,dp_total_cost_alt_yuan,billing_identity_residual_yuan,analytical_emergency_energy_kwh,analytical_emergency_cost_yuan,analytical_total_cost_yuan,dp_max_balance_residual_kwh,dp_max_soc_residual_kwh,dp_max_simultaneous_product_kwh2,dp_max_convexity_violation,analytical_max_balance_residual_kwh,analytical_max_soc_residual_kwh
2025-02-01,42-terminal-zero,4-2,zero,4,6000.0,1645.7962352103323,6000.0,1645.7962352103323,37503.81791630303,37503.81791630303,0.0,0.0,0.0,14514.084956018036,15675.19220268531,0.0,4286.749229636975,16378.31442316083,16378.31442316083,0.0,0.0,0.0,16378.31442316083,16378.31442316083,0.0,0.0,0.0,16378.31442316083,9.379164112033322e-13,1.1368683772161603e-13,0.0,2.9105606813573104e-12,0.0,8.597567102697212e-13
2025-02-02,42-terminal-zero,4-2,zero,4,1645.7962352103323,2142.9738509040335,1645.7962352103323,2142.9738509040335,89079.03133959274,89079.03133959274,0.0,0.0,0.0,20592.442178869635,16232.418310760077,0.0,6362.729521483194,63091.74432493563,63091.74432493563,0.0,0.0,0.0,63091.74432493563,63091.74432493563,0.0,0.0,0.0,63091.74432493563,1.0089706847793423e-12,1.1368683772161603e-13,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
2025-02-03,42-terminal-zero,4-2,zero,4,2142.9738509040335,1438.2202881883818,2142.9738509040335,1438.2202881883818,84319.55744807348,84319.55744807348,0.0,0.0,0.0,21553.020887053564,18092.225124957477,0.0,641.8451859773849,60422.958510195574,60422.958510195574,0.0,0.0,0.0,60422.958510195574,60422.958510195574,0.0,0.0,0.0,60422.958510195574,9.592326932761353e-13,2.842170943040401e-14,0.0,4.3653969328261155e-12,0.0,9.094947017729282e-13
2025-02-04,42-terminal-zero,4-2,zero,4,1438.2202881883818,1257.2574822146685,1438.2202881883818,1210.9114943282411,84936.93932322197,84936.93932322197,0.0,0.0,0.0,22212.25254082195,18154.791083442127,895.5663336905922,580.1802495327405,60480.90203482137,60480.90203482137,0.0,0.0,4533.485508741653,65014.38754356302,65014.38754356301,7.275957614183426e-12,853.8549445928097,5012.178483553614,65493.08051837498,1.0231815394945443e-12,1.1368683772161603e-13,0.0,3.637978807091713e-12,0.0,9.094947017729282e-13
2025-02-05,42-terminal-zero,4-2,zero,4,1257.2574822146685,1460.3566982658524,1210.9114943282411,1460.3566982658524,85442.23336680405,85442.23336680405,0.0,0.0,0.0,23203.350186630945,18611.924356725,215.325566112099,317.70611967687586,61237.40457021652,61237.40457021652,0.0,0.0,1151.7075939222625,62389.11216413878,62389.11216413878,0.0,257.03695520988254,1355.4329429779261,62592.83751319444,1.0125233984581428e-12,5.684341886080802e-14,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
2025-02-06,42-terminal-zero,4-2,zero,4,1460.3566982658524,1533.0234842829148,1460.3566982658524,1533.0234842829148,85614.09793959763,85614.09793959763,0.0,0.0,0.0,22235.44507238268,17945.310401214614,15.968974648320795,1068.8750264112196,61233.51704936418,61233.51704936418,0.0,0.0,115.53553158060096,61349.05258094478,61349.05258094478,0.0,15.968974648320113,115.53553158059603,61349.05258094477,9.343636975245317e-13,5.684341886080802e-14,0.0,3.637978807091713e-12,0.0,8.597567102697212e-13
2025-02-07,42-terminal-zero,4-2,zero,4,1533.0234842829148,1796.9391726113847,1533.0234842829148,1796.9391726113847,40865.917342776374,40865.917342776374,0.0,0.0,0.0,19341.53212084305,15429.116898387249,0.0,5147.82245365391,17205.25583720144,17205.25583720144,0.0,0.0,0.0,17205.25583720144,17205.25583720144,0.0,0.0,0.0,17205.25583720144,9.876544027065393e-13,1.1368683772161603e-13,0.0,2.183142555622908e-12,0.0,9.094947017729282e-13
2025-02-08,42-terminal-zero,4-2,zero,4,1796.9391726113847,1428.2179907313334,1796.9391726113847,1428.2179907313334,37484.581646256964,37484.581646256964,0.0,0.0,0.0,18807.654610738038,15566.049298389858,0.0,2665.813617242119,15763.535560521319,15763.535560521319,0.0,0.0,0.0,15763.535560521319,15763.535560521319,0.0,0.0,0.0,15763.535560521319,9.094947017729282e-13,2.842170943040401e-14,0.0,1.8189894035458565e-12,0.0,9.094947017729282e-13
2025-02-09,42-terminal-zero,4-2,zero,4,1428.2179907313334,1200.0,1428.2179907313334,1200.0,82778.33040964315,82778.33040964315,0.0,0.0,0.0,22706.27416819253,18597.47826789415,889.0281634378159,3.1467061159419245,58035.97986932123,58035.97986932123,0.0,0.0,4661.692391545867,62697.6722608671,62697.672260867104,7.275957614183426e-12,889.0281634378172,5750.425083760427,63786.404953081656,1.0089706847793423e-12,1.1368683772161603e-13,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
2025-02-10,42-terminal-zero,4-2,zero,4,1200.0,1291.9529850288918,1200.0,1291.9529850288918,83835.16768979785,83835.16768979785,0.0,0.0,0.0,21045.370188991503,16963.992166557116,0.0,5427.152084030135,57266.195115145136,57266.195115145136,0.0,0.0,0.0,57266.195115145136,57266.195115145136,0.0,0.0,0.0,57266.195115145136,1.0231815394945443e-12,5.684341886080802e-14,0.0,2.9105606813573104e-12,0.0,9.094947017729282e-13
