date,shared_plan_energy_kwh,shared_plan_cost_yuan,analytical_emergency_energy_kwh,analytical_emergency_cost_yuan,analytical_total_cost_yuan,dp_emergency_energy_kwh,dp_emergency_cost_yuan,dp_total_cost_yuan,dp_saving_yuan,dp_saving_rate_percent
2025-02-01,37730.7930644701,20158.93119175648,0.0,0.0,20158.93119175648,0.0,0.0,20158.93119175648,0.0,0.0
2025-02-02,88842.90140492805,56725.055503597316,0.0,0.0,56725.055503597316,0.0,0.0,56725.055503597316,0.0,0.0
2025-02-03,84376.57976392796,53602.91664636113,0.0,0.0,53602.91664636113,0.0,0.0,53602.91664636113,0.0,0.0
2025-02-04,85019.34133237842,53774.63177332767,806.1131432564486,5484.023335289716,59258.655108617386,806.1131432564496,4307.458530450942,58082.090303778605,1176.5648048387811,1.9854733501497999
2025-02-05,85757.79705462567,54316.053126353436,222.0792420624241,1113.5447805603771,55429.59790691381,222.07924206242478,1101.799780560381,55417.85290691382,11.744999999995343,0.02118904059112861
2025-02-06,85727.73550690024,54331.004631127915,18.07054878368797,105.48975877344611,54436.49438990136,18.070548783689333,105.48975877345407,54436.49438990137,-7.275957614183426e-12,-1.336595549682054e-14
2025-02-07,40961.34187338564,21314.133285175783,0.0,0.0,21314.133285175783,0.0,0.0,21314.133285175783,0.0,0.0
2025-02-08,37394.36895124106,19584.61880334046,0.0,0.0,19584.61880334046,0.0,0.0,19584.61880334046,0.0,0.0
2025-02-09,82608.02184387195,52181.6277483675,989.3426273865309,6793.975313691522,58975.603062059025,989.3426273865298,4901.5350426161485,57083.162790983646,1892.4402710753784,3.2088527676164595
2025-02-10,83816.18929453313,52803.80176121382,0.0,0.0,52803.80176121382,0.0,0.0,52803.80176121382,0.0,0.0
2025-02-11,81073.6521390854,50833.17220066652,0.0,0.0,50833.17220066652,0.0,0.0,50833.17220066652,0.0,0.0
2025-02-12,80250.74902118644,50378.41552754404,23.252613834236875,90.26664690450754,50468.68217444855,23.252613834236875,90.26664690450754,50468.68217444855,0.0,0.0
2025-02-13,79919.40811765377,50199.92644809779,0.0,0.0,50199.92644809779,0.0,0.0,50199.92644809779,0.0,0.0
2025-02-14,34856.372840572134,18144.135174073934,240.86479697926927,1356.200028783257,19500.33520285719,240.86479697926927,1356.200028783257,19500.33520285719,0.0,0.0
2025-02-15,35319.63116600033,18393.671860462935,403.6317655968193,1571.259894844115,19964.93175530705,418.36792009682057,1661.3420073026225,20055.013867765556,-90.08211245850543,-0.4512017048821614
2025-02-16,79642.46153624976,49571.10180944511,300.45794960113864,1896.9598066564215,51468.06161610153,300.45794960113886,1731.6626291945634,51302.76443863967,165.29717746185634,0.32116456744534544
2025-02-17,80772.7821380537,50364.03287581942,0.0,0.0,50364.03287581942,0.0,0.0,50364.03287581942,0.0,0.0
2025-02-18,78194.2647597503,48528.74863159085,0.0,0.0,48528.74863159085,0.0,0.0,48528.74863159085,0.0,0.0
2025-02-19,77371.74370305883,48021.38666724097,653.1767783489598,2713.4371311514715,50734.82379839244,653.1767783489597,2713.4371311514715,50734.82379839244,0.0,0.0
2025-02-20,78008.29299027365,48496.95927493018,0.0591998650294272,0.277292167797837,48497.23656709798,0.05919986503010932,0.27729216780103205,48497.236567097985,-7.275957614183426e-12,-1.500282929341104e-14
2025-02-21,33915.5945079082,17651.024007438595,58.30880243633733,322.74391889019785,17973.767926328794,58.30880243633729,299.90806850958353,17950.932075948178,22.83585038061574,0.12705099161297584
2025-02-22,33962.13944342985,17510.946202021005,260.74913823957854,1550.375041156848,19061.321243177852,269.67871323957814,1604.9615331318455,19115.90773515285,-54.58649197499835,-0.286373076024492
2025-02-23,77634.22874983485,48301.00737361354,0.0,0.0,48301.00737361354,0.0,0.0,48301.00737361354,0.0,0.0
2025-02-24,76884.27412925,47743.83758135723,0.0,0.0,47743.83758135723,0.0,0.0,47743.83758135723,0.0,0.0
2025-02-25,75026.78297576922,46463.583136184854,6.097362571322492,26.703399381106856,46490.28653556596,6.097362571322378,26.703399381106358,46490.28653556596,0.0,0.0
2025-02-26,71715.28979439044,44345.28030163476,952.2988873315823,6513.594887717142,50858.8751893519,952.2988873315816,5142.139504634093,49487.41980626885,1371.4553830830482,2.696590079857259
2025-02-27,72772.43435347463,44894.89863228917,664.4789686612912,3210.4063318655953,48105.30496415477,664.4789686612912,3210.4063318655953,48105.30496415477,0.0,0.0
2025-02-28,33110.304998237756,17192.970138957087,0.0,0.0,17192.970138957087,0.0,0.0,17192.970138957087,0.0,0.0
2025-03-01,32844.13037125164,17055.31124804454,42.9597566455372,185.0387755729043,17240.350023617444,42.9597566455372,185.0387755729043,17240.350023617444,0.0,0.0
2025-03-02,76091.64164616354,47282.023312784426,1786.4682250483536,12085.09351235825,59367.11682514267,2740.2907186248713,14126.062138545798,61408.085451330226,-2040.968626187554,-3.437877288531519
2025-03-03,77094.03604490258,47794.99663474061,11.662024701191445,24.542730983657393,47819.53936572427,107.1554655090149,440.9961508427733,48235.99278558338,-416.45341985911364,-0.8708854693770137
2025-03-04,77924.02758793329,48528.28387374028,0.0,0.0,48528.28387374028,0.0,0.0,48528.28387374028,0.0,0.0
2025-03-05,76098.6398015627,47157.40846821433,0.0,0.0,47157.40846821433,0.0,0.0,47157.40846821433,0.0,0.0
2025-03-06,73355.88910740941,45290.934590836856,0.0,0.0,45290.934590836856,0.0,0.0,45290.934590836856,0.0,0.0
2025-03-07,31805.74230792424,16590.163878670966,0.0,0.0,16590.163878670966,0.0,0.0,16590.163878670966,0.0,0.0
2025-03-08,30275.85345356092,15854.601765328223,274.67653897381194,1051.1391066829092,16905.740872011134,274.6765389738119,1061.196606682909,16915.798372011133,-10.057499999998981,-0.0594916252185671
2025-03-09,70799.41646384323,43497.53846885903,0.0,0.0,43497.53846885903,0.0,0.0,43497.53846885903,0.0,0.0
2025-03-10,69481.54144840737,42759.571837192954,1958.834129928587,13143.302893430304,55902.874730623254,1958.8341299285878,11866.53986833918,54626.11170553214,1276.763025091117,2.2838951149532103
2025-03-11,71923.96009655239,43945.19788044579,0.0,0.0,43945.19788044579,48.73880468692992,223.63637292765503,44168.83425337345,-223.63637292765634,-0.5088983181645141
2025-03-12,69918.637016345,42834.61048489991,0.0,0.0,42834.61048489991,0.0,0.0,42834.61048489991,0.0,0.0
2025-03-13,69407.40892508594,42411.942731159645,2272.9261213830787,14935.586393194093,57347.529124353736,2272.9261213830787,13496.222437594395,55908.16516875404,1439.3639555996924,2.5098970741678195
2025-03-14,30047.082869520076,15686.620681271812,29.19169062259131,124.32520022762868,15810.945881499441,29.19169062259131,124.32520022762868,15810.945881499441,0.0,0.0
2025-03-15,29508.900315677813,15400.927546911877,547.0747172749946,1773.892977335357,17174.820524247232,547.0747172749946,1775.3689773353572,17176.296524247235,-1.4760000000023865,-0.008593976268448251
2025-03-16,71653.85802613203,43716.75227318395,0.0,0.0,43716.75227318395,0.0,0.0,43716.75227318395,0.0,0.0
2025-03-17,69244.32736370646,42350.1502338913,0.0,0.0,42350.1502338913,0.0,0.0,42350.1502338913,0.0,0.0
2025-03-18,65858.636148141,40165.51119637779,313.0275847776871,1520.5040362487723,41686.01523262656,313.0275847776871,1520.5040362487723,41686.01523262656,0.0,0.0
2025-03-19,65562.59781403941,40164.37647087855,0.0,0.0,40164.37647087855,0.0,0.0,40164.37647087855,0.0,0.0
2025-03-20,64654.29461316705,39664.274141232585,1107.9919589837955,7529.985305716906,47194.259446949494,1107.9919589837955,6067.96108052803,45732.23522176062,1462.0242251888776,3.0978857223775735
2025-03-21,29623.621457563757,15387.057937519514,53.034530486956285,196.72317485448028,15583.781112373994,53.034530486956285,196.72317485448028,15583.781112373994,0.0,0.0
2025-03-22,29059.698727755633,14985.716977229897,0.0,0.0,14985.716977229897,0.0,0.0,14985.716977229897,0.0,0.0
2025-03-23,65989.08145463407,40344.84374253884,0.0,0.0,40344.84374253884,0.0,0.0,40344.84374253884,0.0,0.0
2025-03-24,64984.56734215435,39660.25500522154,0.0,0.0,39660.25500522154,0.0,0.0,39660.25500522154,0.0,0.0
