target_date,initial_soc_kwh,objective_value,plan_energy_kwh,plan_cost_yuan,scenario_count,status,solve_seconds,highs_objective,highs_max_primal_infeasibility,highs_num_primal_infeasibilities,simplex_iterations,ipm_iterations,mip_gap,tiebreak_used,binary_fallback_used,max_balance_residual_kwh,max_soc_residual_kwh,max_simultaneous_product_kwh2,min_variable_value_kwh,min_soc_kwh,max_soc_kwh,max_charge_kwh,max_discharge_kwh,purpose
2025-02-01,6000.0,20137.436691314997,37730.7930644701,20158.93119175648,29,Optimal,0.36281989999770303,20137.436691314986,0.0,0,11608,0,,False,False,1.1368683772161603e-13,9.663381206337363e-13,0.0,0.0,1200.0,10800.0,833.3333333333334,642.3539042343359,formal_output
2025-02-02,1977.9765468653784,56801.67278247139,88842.90140492805,56725.055503597316,30,Optimal,0.7048821999997017,56801.67278247142,3.637978807091713e-12,0,13311,0,,False,False,1.0459189070388675e-11,9.094947017729282e-12,0.0,0.0,1200.0,10800.000000000004,833.3333333333334,833.3333333333334,formal_output
2025-02-03,2299.0400823946084,53695.39571161931,84376.57976392796,53602.91664636113,30,Optimal,0.7199125000006461,53695.39571161933,0.0,0,13052,0,,False,False,2.2737367544323206e-13,1.6129320101754274e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-02-04,1611.8860346399783,53825.694910054604,85019.34133237842,53774.63177332767,30,Optimal,0.6354672999987088,53825.69491005464,9.427156910852207e-13,0,12961,0,,False,False,2.2737367544323206e-12,2.7284841053187847e-12,0.0,-9.427156910852207e-13,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-02-05,1255.1225470262782,54380.09686104727,85757.79705462567,54316.053126353436,30,Optimal,0.7041592999994464,54380.09686104728,2.9467628337442865e-12,0,13366,0,,False,False,6.957634468562901e-11,3.568156881073037e-11,0.0,-2.9467628337442865e-12,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-02-06,1615.186368969226,54404.37943646127,85727.73550690024,54331.004631127915,30,Optimal,0.7389844999997877,54404.379436461284,3.637978807091713e-12,0,14260,0,,False,False,1.693933882052079e-11,1.887201506178826e-11,0.0,0.0,1200.0,10800.000000000004,833.3333333333334,833.3333333333334,formal_output
2025-02-07,1687.1920962060701,21271.55166058752,40961.34187338564,21314.133285175783,30,Optimal,0.4016816999974253,21271.55166058755,2.2737367544323206e-12,0,12256,0,,False,False,2.4442670110147446e-11,1.7177370637000422e-11,0.0,-2.2737367544323206e-12,1199.9999999999998,10800.0,833.3333333333334,614.0870650812631,formal_output
2025-02-08,1979.3016303113984,19413.737686856766,37394.36895124106,19584.61880334046,30,Optimal,0.3575017000002845,19413.737686856788,8.219245284379895e-12,0,12248,0,,False,False,5.189804141991772e-11,2.0122570276726037e-11,0.0,-8.219245284379895e-12,1200.0,10800.0,833.3333333333334,701.3714672802586,formal_output
2025-02-09,1582.6109241735548,52302.2201090662,82608.02184387195,52181.6277483675,30,Optimal,0.6746225999995659,52302.22010906619,4.774847184307873e-12,0,12998,0,,False,False,4.274625098332763e-11,7.003109203651547e-11,0.0,0.0,1199.9999999999952,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-02-10,1322.32959897302,52863.22653237533,83816.18929453313,52803.80176121382,30,Optimal,0.6885301000002073,52863.22653237533,3.637978807091713e-12,0,13222,0,,False,False,8.185452315956354e-12,7.325695605686633e-12,0.0,-3.637978807091713e-12,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-02-11,1457.5449478164726,50917.65075854152,81073.6521390854,50833.17220066652,30,Optimal,0.6199727999992319,50917.65075854151,0.0,0,13076,0,,False,False,9.265477274311706e-12,4.149569576838985e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-02-12,1554.1861784495748,50464.43480194789,80250.74902118644,50378.41552754404,30,Optimal,0.7293320999997377,50464.43480194789,1.9913404258886658e-11,0,13167,0,,False,False,3.9335645851679146e-11,4.329192559993089e-11,0.0,-1.9913404258886658e-11,1200.0,10800.000000000004,833.3333333333334,833.3333333333334,formal_output
2025-02-13,1310.5235573891555,50284.05738293478,79919.40811765377,50199.92644809779,30,Optimal,0.5796573000006902,50284.057382934785,3.387867764104158e-11,0,12935,0,,False,False,1.7499246496299747e-10,8.776623872108757e-11,0.0,-3.387867764104158e-11,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-02-14,1754.774466799533,17921.981204722542,34856.372840572134,18144.135174073934,30,Optimal,0.28215760000239243,17921.98120472253,0.0,0,11372,0,,False,False,9.094947017729282e-12,9.094947017729282e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,565.5794164095905,formal_output
2025-02-15,1367.0223426087923,18160.915946901077,35319.63116600033,18393.671860462935,30,Optimal,0.3263294999997015,18160.91594690107,0.0,0,11536,0,,False,False,2.7426949600339867e-12,1.6547874182037958e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,595.2673683901428,formal_output
