date,dp_initial_soc_kwh,dp_terminal_soc_kwh,ana_initial_soc_kwh,ana_terminal_soc_kwh,plan_cost_yuan,adj_cost_yuan,adj_up_energy_kwh,adj_down_energy_kwh,dp_emergency_energy_kwh,dp_emergency_cost_yuan,dp_total_cost_yuan,total_cost_yuan_alt,ana_emergency_energy_kwh,ana_emergency_cost_yuan,ana_total_cost_yuan,g0_energy_kwh,geff_energy_kwh,updates_solved,dp_max_balance_residual_kwh,dp_max_soc_residual_kwh,ana_max_balance_residual_kwh,ana_max_soc_residual_kwh,dp_max_convexity_violation
2025-02-01,6000.0,10103.41568361399,6000.0,10103.41568361399,24098.25017098439,-207.31243318149996,0.0,870.1475745990472,0.0,5.776476252883356e-11,23890.937737802946,23890.937737802946,0.0,0.0,23890.937737802888,46840.282522679285,45970.13494808023,3,1.0089706847793423e-12,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.183142555622908e-12
2025-02-02,10103.41568361399,10332.501101380547,10103.41568361399,10481.0924575591,56671.105935693704,-304.7689302072339,0.0,947.2549670573077,0.0,4.96067171784631e-11,56366.33700548652,56366.337005486515,0.0,0.0,56366.33700548647,88965.80731352587,88018.55234646855,3,9.71667191151937e-13,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.183142555622908e-12
2025-02-03,10332.501101380547,9832.0586103798,10481.0924575591,9832.0586103798,54106.03243448456,-259.84353587083166,0.0,699.9121941421533,0.0,7.785069154608859e-11,53846.18889861381,53846.18889861381,0.0,0.0,53846.18889861373,85332.80906215089,84632.89686800874,3,9.876544027065393e-13,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-02-04,9832.0586103798,9541.634216051414,9832.0586103798,9541.634216051414,54513.518862261175,-24.494184745984526,0.0,60.75917330291452,0.0,8.361152858959995e-11,54489.02467751527,54489.02467751528,0.0,0.0,54489.02467751519,86052.55914092105,85991.79996761814,3,9.592326932761353e-13,5.684341886080802e-14,0.0,9.094947017729282e-13,2.183142555622908e-12
2025-02-05,9541.634216051414,9849.619667284014,9541.634216051414,9849.619667284014,54123.475051971516,924.8251794837048,813.1209644193756,0.0,94.78512333805135,480.63891145629697,55528.93914291152,55528.93914291152,94.78512333805067,480.6389114562095,55528.93914291143,85582.28691404591,86395.40787846528,3,9.805489753489383e-13,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.183142555622908e-12
2025-02-06,9849.619667284014,9973.744980389165,9849.619667284014,9973.744980389165,54898.48897909867,-510.34836721949677,0.0,1456.183182989359,21.05286666666734,122.98032063342549,54511.1209325126,54511.1209325126,21.05286666666666,122.98032063333329,54511.1209325125,86658.67920500296,85202.49602201361,3,1.0089706847793423e-12,7.105427357601002e-15,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-02-07,9973.744980389165,10215.237425444117,9973.744980389165,10215.237425444117,21387.062455920663,-233.50657545237323,0.0,993.1772859161276,0.0,6.069200098046679e-11,21153.55588046835,21153.55588046835,0.0,0.0,21153.555880468288,41218.85482109958,40225.67753518345,3,1.0231815394945443e-12,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-02-08,10215.237425444117,9634.230007374495,10215.237425444117,9634.230007374495,19305.24340417691,0.0,0.0,0.0,0.0,6.601446222997965e-11,19305.243404176974,19305.243404176974,0.0,0.0,19305.24340417691,36990.59085597444,36990.59085597444,3,1.0231815394945443e-12,2.842170943040401e-14,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-02-09,9634.230007374495,9563.330583565803,9634.230007374495,9563.330583565803,52670.42630446513,254.2847678524529,302.3011714439249,0.0,92.1349343693164,465.3046905590523,53390.01576287664,53390.015762876625,92.1349343693169,577.7049104862879,53502.415982803876,83550.91641793576,83853.21758937968,3,9.734435479913373e-13,1.1368683772161603e-13,0.0,8.739675649849232e-13,2.9105606813573104e-12
2025-02-10,9563.330583565803,9729.658497050246,9563.330583565803,9729.658497050246,52548.516131767,-314.75499094104595,0.0,1010.1164449268525,0.0,6.106053873633498e-11,52233.76114082601,52233.76114082601,0.0,0.0,52233.761140825954,83587.3392281741,82577.22278324724,3,9.094947017729282e-13,5.684341886080802e-14,0.0,9.094947017729282e-13,2.183142555622908e-12
2025-02-11,9729.658497050246,9872.899694525859,9729.658497050246,9872.899694525859,51077.21861736114,-122.96054094412429,0.0,316.03285670276176,5.6256889913846635,26.350727235713507,50980.608803652736,50980.608803652736,5.625688991383981,26.35072723564257,50980.60880365266,81477.47981982141,81161.44696311865,3,9.849898674474389e-13,1.1368683772161603e-13,0.0,8.86846152070575e-13,2.9105606813573104e-12
2025-02-12,9872.899694525859,9596.311974916118,9872.899694525859,9596.311974916118,50650.8602275703,-304.52066226569906,0.0,841.9025504326281,0.0,8.911190840787952e-11,50346.33956530469,50346.3395653047,0.0,0.0,50346.3395653046,80745.6566753656,79903.75412493298,3,9.592326932761353e-13,5.684341886080802e-14,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-02-13,9596.311974916118,10046.441022751465,9596.311974916118,10046.441022751465,49827.00358713286,-197.38703812943444,0.0,728.7522538407421,0.0,5.927360569035756e-11,49629.616549003484,49629.616549003484,0.0,0.0,49629.616549003425,79615.90344629882,78887.15119245808,3,9.094947017729282e-13,1.1368683772161603e-13,1.1368683772161603e-13,8.846257060213247e-13,2.9105606813573104e-12
2025-02-14,10046.441022751465,9624.211144429237,10046.441022751465,9624.211144429237,18352.59110291694,0.0,0.0,0.0,96.07695415217866,530.6340988839863,18883.225201800928,18883.225201800924,96.07695415217866,530.6340988839288,18883.22520180087,35290.78642673901,35290.78642673901,3,1.0231815394945443e-12,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-02-15,9624.211144429237,9354.334930171919,9624.211144429237,9354.334930171919,18677.421568839472,47.59105251844584,45.98835823399125,0.0,28.341498628626937,116.19946928482742,18841.212090642744,18841.212090642744,13.605344128625688,52.81594590732492,18777.828567265242,35773.182309605385,35819.17066783938,3,9.237055564881302e-13,5.684341886080802e-14,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-02-16,9354.334930171919,9694.30514426136,9354.334930171919,9694.30514426136,49957.955154308496,-22.017355602634154,0.0,58.15930091365908,54.19862244883049,223.86755506343798,50159.8053537693,50159.80535376929,54.19862244882981,223.8675550633395,50159.8053537692,80257.44241422878,80199.28311331512,3,9.85878045867139e-13,7.105427357601002e-15,0.0,8.86402062860725e-13,2.9105606813573104e-12
2025-02-17,9694.30514426136,9727.56929852083,9694.30514426136,9727.56929852083,50294.49810116921,-478.11039104905217,0.0,1619.9705169706353,0.0,6.227093241051307e-11,49816.38771012022,49816.387710120216,0.0,0.0,49816.38771012016,80729.14361858938,79109.17310161876,3,1.0089706847793423e-12,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.183142555622908e-12
2025-02-18,9727.56929852083,9836.71135841353,9727.56929852083,9836.71135841353,47786.97643982181,-155.70562423641283,12.87711816388071,629.3268662935315,0.0,9.150069590901921e-11,47631.27081558549,47631.27081558549,0.0,0.0,47631.2708155854,77081.32145327081,76464.87170514115,3,9.876544027065393e-13,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-02-19,9836.71135841353,9384.943867749156,9836.71135841353,9384.943867749156,47508.41032335833,387.54781720500193,371.64192013861765,0.0,466.91076771172425,2277.93845286188,50173.89659342521,50173.89659342521,466.91076771172436,2277.9384528618216,50173.896593425154,76698.6939847618,77070.33590490044,3,9.983125437429408e-13,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-02-20,9384.943867749156,10106.064912943863,9384.943867749156,10106.064912943863,48173.787962347116,0.0,0.0,0.0,4.0378409864198375,18.913247180462065,48192.70120952758,48192.701209527586,4.037840986419155,18.913247180387323,48192.701209527506,77730.40717745309,77730.40717745309,3,9.841016890277388e-13,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.9105606813573104e-12
2025-02-21,10106.064912943863,9880.129258341869,10106.064912943863,9880.129258341869,17752.933473777564,92.66077626496644,89.54029691739524,0.0,0.0,4.672542563977089e-11,17845.594250042577,17845.59425004258,0.0,0.0,17845.59425004253,34351.74443460274,34441.284731520136,3,9.947598300641403e-13,5.684341886080802e-14,0.0,8.313350008393172e-13,2.9105606813573104e-12
2025-02-22,9880.129258341869,9495.194721681319,9880.129258341869,9495.194721681319,17707.981525694864,75.2602415367558,72.72574917790578,0.0,196.053955564428,1198.477830365417,18981.719597597035,18981.719597597035,196.053955564428,1198.4778303653484,18981.719597596966,34450.8013099444,34523.52705912231,3,9.094947017729282e-13,1.1368683772161603e-13,0.0,8.952838470577262e-13,2.183142555622908e-12
2025-02-23,9495.194721681319,9825.062765282371,9495.194721681319,9825.062765282371,47953.42136918438,-143.48064556491798,36.987462603553695,608.1454214847727,0.0,7.07485703355104e-11,47809.94072361954,47809.940723619526,0.0,0.0,47809.94072361947,77414.81706667531,76843.6591077941,3,9.876544027065393e-13,1.4210854715202004e-14,0.0,8.881784197001252e-13,2.183142555622908e-12
2025-02-24,9825.062765282371,9698.715980231194,9825.062765282371,9698.715980231194,47246.35345762919,-397.5803142729282,0.0,1411.9374067569756,0.0,4.553003618568142e-11,46848.77314335631,46848.77314335631,0.0,0.0,46848.773143356266,76149.1879484826,74737.25054172563,3,9.237055564881302e-13,1.1368683772161603e-13,0.0,8.952838470577262e-13,2.183142555622908e-12
2025-02-25,9698.715980231194,9832.581685470655,9698.715980231194,9832.581685470655,46348.297601842976,-446.91630068104564,0.0,1649.4055487158466,6.916034128713022,30.288771466761975,45931.67007262869,45931.670072628694,6.916034128713136,30.28877146669918,45931.67007262863,75017.02674626981,73367.62119755396,3,9.734435479913373e-13,1.1368683772161603e-13,0.0,9.094947017729282e-13,2.183142555622908e-12
