date,issue_hour,kind,initial_soc_kwh,objective_value,scenario_count,status,solve_seconds,tiebreak_used,binary_fallback_used,max_balance_residual_kwh,max_soc_residual_kwh,max_delta_product_kwh2,max_simultaneous_product_kwh2,highs_max_primal_infeasibility,simplex_iterations,ipm_iterations,mip_gap
2025-02-01,0,original,6000.0,19734.533310183277,29,Optimal,0.4182820999994874,False,False,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,11112,0,
2025-02-02,0,original,10103.41568361399,52439.09210038394,30,Optimal,0.777758599986555,False,False,2.2737367544323206e-11,2.546585164964199e-11,0.0,0.0,3.772981926886132e-12,13499,0,
2025-02-03,0,original,10481.0924575591,49778.063224431775,30,Optimal,0.7310375999950338,False,False,3.774403012357652e-11,3.456079866737127e-11,0.0,0.0,1.6456835894018695e-11,13158,0,
2025-02-04,0,original,9832.058610379794,50221.26007423992,30,Optimal,0.9218994999973802,False,False,1.1368683772161603e-13,9.663381206337363e-13,0.0,0.0,0.0,14473,0,
2025-02-05,0,original,9596.59315452742,49800.45568517396,30,Optimal,0.7406021000060719,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,13630,0,
2025-02-06,0,original,9843.976555345505,50590.66230674946,30,Optimal,0.9259058000025107,False,False,1.1368683772161603e-13,2.9061197892588098e-12,0.0,0.0,0.0,14886,0,
2025-02-07,0,original,9972.413436358522,16989.48626360541,30,Optimal,0.46395510000002105,False,False,2.2737367544323206e-13,2.6432189770275727e-12,0.0,0.0,0.0,11376,0,
2025-02-08,0,original,10215.237425444117,14785.947019805122,30,Optimal,0.311848999990616,False,False,3.126388037344441e-11,1.7415402453480056e-11,0.0,0.0,0.0,10888,0,
2025-02-09,0,original,9634.230007374495,48378.16437984953,30,Optimal,0.9131974999909289,False,False,1.1368683772161603e-13,2.0463630789890885e-12,0.0,0.0,0.0,13382,0,
2025-02-10,0,original,9563.330583565803,48175.72888774165,30,Optimal,0.8383461999910651,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,13263,0,
2025-02-11,0,original,9729.658497050246,46707.41812708109,30,Optimal,0.7928625000058673,False,False,1.1368683772161603e-13,4.922728891187944e-12,0.0,0.0,0.0,12982,0,
2025-02-12,0,original,9872.899694525859,46277.53751529363,30,Optimal,0.7823055000044405,False,False,1.1368683772161603e-13,2.6147972675971687e-12,0.0,0.0,0.0,13338,0,
2025-02-13,0,original,9720.5212870558,45384.79024773636,30,Optimal,0.7793539999984205,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,13302,0,
2025-02-14,0,original,10046.441022751465,13732.521151043524,30,Optimal,0.28111479998915456,False,False,1.1368683772161603e-13,9.663381206337363e-13,0.0,0.0,0.0,10183,0,
2025-02-15,0,original,9624.211144429237,14020.871585472209,30,Optimal,0.304529500004719,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,10332,0,
2025-02-16,0,original,9354.334930171919,45610.908985087306,30,Optimal,0.745918000000529,False,False,1.1368683772161603e-13,2.3732127374387346e-12,0.0,0.0,0.0,13609,0,
2025-02-17,0,original,9699.335599218644,45973.58528281562,30,Optimal,0.7284652000089409,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,13173,0,
2025-02-18,0,original,9727.56929852083,43477.00731713462,30,Optimal,0.8121337000047788,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,13056,0,
2025-02-19,0,original,9983.50331142735,43122.49541838653,30,Optimal,0.682248700002674,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,12802,0,
2025-02-20,0,original,9384.943867749156,43919.032790293844,30,Optimal,0.790652499999851,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,13179,0,
2025-02-21,0,original,10106.064912943863,13188.133111207666,30,Optimal,0.26296340000408236,False,False,9.549694368615746e-12,7.275957614183426e-12,0.0,0.0,8.846257060213247e-13,10172,0,
2025-02-22,0,original,9880.129258341869,13138.236033424568,30,Optimal,0.2617833999975119,False,False,1.1368683772161603e-13,3.375077994860476e-12,0.0,0.0,0.0,10211,0,
2025-02-23,0,original,9495.194721681319,43641.24302282065,30,Optimal,0.7292809999926249,False,False,1.1368683772161603e-13,2.7391422463551862e-12,0.0,0.0,0.0,13013,0,
2025-02-24,0,original,9825.062765282371,42853.44507926675,30,Optimal,0.705779199997778,False,False,1.1368683772161603e-13,9.663381206337363e-13,0.0,0.0,0.0,12987,0,
2025-02-25,0,original,9746.990153570096,41935.40518644266,30,Optimal,0.6945814000064274,False,False,1.1368683772161603e-13,1.6484591469634324e-12,0.0,0.0,0.0,13041,0,
2025-02-26,0,original,9832.581685470655,39584.07022484731,30,Optimal,0.6957928000047104,False,False,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,12582,0,
2025-02-27,0,original,9646.190380328617,40212.25144680727,30,Optimal,0.7332729000045219,False,False,9.094947017729282e-13,2.4442670110147446e-12,0.0,0.0,0.0,12626,0,
2025-02-28,0,original,10005.872829697546,12801.873642378738,30,Optimal,0.2916033000074094,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,10118,0,
2025-03-01,0,original,10051.319831631223,12748.452895676253,30,Optimal,0.295373600005405,False,False,5.53086465515662e-11,3.431210870985524e-11,0.0,0.0,3.290068237744645e-11,10192,0,
2025-03-02,0,original,9597.635180404452,43043.79202373956,30,Optimal,0.7355873000051361,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,0.0,14033,0,
2025-03-03,0,original,9533.23327972607,43687.025675031626,30,Optimal,0.8439708999940194,False,False,1.1368683772161603e-13,2.4442670110147446e-12,0.0,0.0,0.0,13198,0,
2025-03-04,0,original,9512.067519841114,43154.539696931795,30,Optimal,0.7863394000014523,False,False,1.1368683772161603e-13,1.7053025658242404e-12,0.0,0.0,0.0,13279,0,
2025-03-05,0,original,9916.474362412644,42399.12151195719,30,Optimal,0.6859449000039604,False,False,1.1368683772161603e-13,2.1600499167107046e-12,0.0,0.0,0.0,12775,0,
