date,dp_emergency_cost_yuan,ana_emergency_cost_yuan,dp_emergency_energy_kwh,ana_emergency_energy_kwh,dp_max_balance_residual_kwh,ana_max_balance_residual_kwh,dp_max_soc_residual_kwh,ana_max_soc_residual_kwh,dp_total_cost_yuan,ana_total_cost_yuan
2025-02-01,6.722393774971636e-11,0.0,0.0,0.0,1.0089706847793423e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,23816.643160592917,23816.643160592852
2025-02-02,5.2231998060037195e-11,0.0,0.0,0.0,9.71667191151937e-13,0.0,1.1368683772161603e-13,9.094947017729282e-13,56344.45366301087,56344.45366301082
2025-02-03,9.033286861581667e-11,0.0,0.0,0.0,9.876544027065393e-13,0.0,1.1368683772161603e-13,9.094947017729282e-13,53825.00227948343,53825.00227948334
2025-02-04,7.99173535126485e-11,0.0,0.0,0.0,9.592326932761353e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,54683.53994468179,54683.53994468171
2025-02-05,1750.0125910458469,1759.775353064532,358.3818648935204,358.3818648935197,9.805489753489383e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,56343.69171209661,56353.4544741153
2025-02-06,122.9803206334173,122.98032063333329,21.05286666666734,21.05286666666666,1.0231815394945443e-12,0.0,3.552713678800501e-15,9.094947017729282e-13,54493.95809248515,54493.95809248506
2025-02-07,6.19101855059423e-11,0.0,0.0,0.0,9.983125437429408e-13,0.0,1.1368683772161603e-13,9.094947017729282e-13,21159.436100811316,21159.436100811254
2025-02-08,8.258210903999697e-11,0.0,0.0,0.0,1.0231815394945443e-12,0.0,1.4210854715202004e-14,9.094947017729282e-13,19333.675860609157,19333.675860609073
2025-02-09,465.3046905590523,577.7049104862879,92.1349343693164,92.1349343693169,9.734435479913373e-13,0.0,1.1368683772161603e-13,8.739675649849232e-13,53389.47863383146,53501.878853758695
2025-02-10,6.830401566570998e-11,0.0,0.0,0.0,9.094947017729282e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,52254.89948214329,52254.89948214323
2025-02-11,25.4839965072168,25.483996507144855,5.440648272234853,5.440648272234171,9.85878045867139e-13,0.0,1.1368683772161603e-13,8.86846152070575e-13,50955.8456338348,50955.845633834724
