date,dp_emergency_cost_yuan,ana_emergency_cost_yuan,dp_emergency_energy_kwh,ana_emergency_energy_kwh,dp_max_balance_residual_kwh,ana_max_balance_residual_kwh,dp_max_soc_residual_kwh,ana_max_soc_residual_kwh,dp_total_cost_yuan,ana_total_cost_yuan
2025-02-01,5.776476252883356e-11,0.0,0.0,0.0,1.0089706847793423e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,23890.937737802946,23890.937737802888
2025-02-02,4.96067171784631e-11,0.0,0.0,0.0,9.71667191151937e-13,0.0,1.1368683772161603e-13,9.094947017729282e-13,56366.33700548652,56366.33700548647
2025-02-03,7.785069154608859e-11,0.0,0.0,0.0,9.876544027065393e-13,0.0,1.1368683772161603e-13,9.094947017729282e-13,53846.18889861381,53846.18889861373
2025-02-04,8.361152858959995e-11,0.0,0.0,0.0,9.592326932761353e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,54489.02467751527,54489.02467751519
2025-02-05,480.63891145629697,480.6389114562095,94.78512333805135,94.78512333805067,9.805489753489383e-13,0.0,1.1368683772161603e-13,9.094947017729282e-13,55528.93914291152,55528.93914291143
2025-02-06,122.98032063342549,122.98032063333329,21.05286666666734,21.05286666666666,1.0089706847793423e-12,0.0,7.105427357601002e-15,9.094947017729282e-13,54511.1209325126,54511.1209325125
2025-02-07,6.069200098046679e-11,0.0,0.0,0.0,1.0231815394945443e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,21153.55588046835,21153.555880468288
2025-02-08,6.601446222997965e-11,0.0,0.0,0.0,1.0231815394945443e-12,0.0,2.842170943040401e-14,9.094947017729282e-13,19305.243404176974,19305.24340417691
2025-02-09,465.3046905590523,577.7049104862879,92.1349343693164,92.1349343693169,9.734435479913373e-13,0.0,1.1368683772161603e-13,8.739675649849232e-13,53390.01576287664,53502.415982803876
2025-02-10,6.106053873633498e-11,0.0,0.0,0.0,9.094947017729282e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,52233.76114082601,52233.761140825954
2025-02-11,26.350727235713507,26.35072723564257,5.6256889913846635,5.625688991383981,9.849898674474389e-13,0.0,1.1368683772161603e-13,8.86846152070575e-13,50980.608803652736,50980.60880365266
2025-02-12,8.911190840787952e-11,0.0,0.0,0.0,9.592326932761353e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,50346.33956530469,50346.3395653046
2025-02-13,5.927360569035756e-11,0.0,0.0,0.0,9.094947017729282e-13,1.1368683772161603e-13,1.1368683772161603e-13,8.846257060213247e-13,49629.616549003484,49629.616549003425
2025-02-14,530.6340988839863,530.6340988839288,96.07695415217866,96.07695415217866,1.0231815394945443e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,18883.225201800928,18883.22520180087
2025-02-15,116.19946928482742,52.81594590732492,28.341498628626937,13.605344128625688,9.237055564881302e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,18841.212090642744,18777.828567265242
2025-02-16,223.86755506343798,223.8675550633395,54.19862244883049,54.19862244882981,9.85878045867139e-13,0.0,7.105427357601002e-15,8.86402062860725e-13,50159.8053537693,50159.8053537692
2025-02-17,6.227093241051307e-11,0.0,0.0,0.0,1.0089706847793423e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,49816.38771012022,49816.38771012016
2025-02-18,9.150069590901921e-11,0.0,0.0,0.0,9.876544027065393e-13,0.0,1.1368683772161603e-13,9.094947017729282e-13,47631.27081558549,47631.2708155854
2025-02-19,2277.93845286188,2277.9384528618216,466.91076771172425,466.91076771172436,9.983125437429408e-13,0.0,1.1368683772161603e-13,9.094947017729282e-13,50173.89659342521,50173.896593425154
2025-02-20,18.913247180462065,18.913247180387323,4.0378409864198375,4.037840986419155,9.841016890277388e-13,0.0,1.1368683772161603e-13,9.094947017729282e-13,48192.70120952758,48192.701209527506
2025-02-21,4.672542563977089e-11,0.0,0.0,0.0,9.947598300641403e-13,0.0,5.684341886080802e-14,8.313350008393172e-13,17845.594250042577,17845.59425004253
2025-02-22,1198.477830365417,1198.4778303653484,196.053955564428,196.053955564428,9.094947017729282e-13,0.0,1.1368683772161603e-13,8.952838470577262e-13,18981.719597597035,18981.719597596966
2025-02-23,7.07485703355104e-11,0.0,0.0,0.0,9.876544027065393e-13,0.0,1.4210854715202004e-14,8.881784197001252e-13,47809.94072361954,47809.94072361947
2025-02-24,4.553003618568142e-11,0.0,0.0,0.0,9.237055564881302e-13,0.0,1.1368683772161603e-13,8.952838470577262e-13,46848.77314335631,46848.773143356266
2025-02-25,30.288771466761975,30.28877146669918,6.916034128713022,6.916034128713136,9.734435479913373e-13,0.0,1.1368683772161603e-13,9.094947017729282e-13,45931.67007262869,45931.67007262863
2025-02-26,3673.787971625188,4945.90496680866,722.7568954031326,722.756895403134,1.0231815394945443e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,48297.767846165676,49569.88484134914
2025-02-27,3428.354357413902,3428.3543574138175,709.4167058877288,709.4167058877288,9.947598300641403e-13,0.0,7.105427357601002e-15,9.094947017729282e-13,47938.03707062669,47938.037070626604
2025-02-28,6.146321607225502e-11,0.0,0.0,0.0,9.663381206337363e-13,0.0,5.684341886080802e-14,8.846257060213247e-13,17446.439419076785,17446.439419076723
2025-03-01,5.807704006599579e-11,0.0,0.0,0.0,9.610090501155355e-13,0.0,5.684341886080802e-14,8.846257060213247e-13,17419.271263939627,17419.27126393957
2025-03-02,11526.471490199136,8950.335250730364,2241.9714615174944,1322.277182473012,9.97923965684322e-13,0.0,5.684341886080802e-14,8.981149157705204e-13,58632.81196777153,56056.675728302755
2025-03-03,340.3271482383509,0.0,75.22162278261855,0.0,9.841016890277388e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,48210.18792242705,47869.8607741887
2025-03-04,5.4306727781394675e-11,0.0,0.0,0.0,1.0231815394945443e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,47806.30533007319,47806.30533007314
2025-03-05,7.45165006366122e-11,0.0,0.0,0.0,9.805489753489383e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,45929.20931258819,45929.209312588115
2025-03-06,8.015834973562618e-11,0.0,0.0,0.0,1.0107470416187425e-12,0.0,1.1368683772161603e-13,9.094947017729282e-13,44212.13598293441,44212.13598293433
2025-03-07,4.5850629598609416e-11,0.0,0.0,0.0,9.85878045867139e-13,0.0,5.684341886080802e-14,8.952838470577262e-13,16999.265847872488,16999.26584787244
2025-03-08,296.10048156852844,320.11761533479995,71.08705962243401,71.08705962243411,9.414691248821327e-13,0.0,5.684341886080802e-14,9.094947017729282e-13,16668.707419477123,16692.72455324339
