date,issue_hour,kind,initial_soc_kwh,objective_value,scenario_count,status,solve_seconds,tiebreak_used,binary_fallback_used,max_balance_residual_kwh,max_soc_residual_kwh,max_delta_product_kwh2,max_simultaneous_product_kwh2,highs_max_primal_infeasibility,simplex_iterations,ipm_iterations,mip_gap
2025-02-01,0,original,6000.0,19734.533310183277,29,Optimal,0.41640289999486413,False,False,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,0.0,11112,0,
2025-02-01,6,rolling,10219.471498029336,20199.53881899413,28,Optimal,0.29777150000154506,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1.1368683772161603e-13,9774,0,
2025-02-01,18,rolling,10321.741017850918,39497.72609837569,28,Optimal,0.552980699998443,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1.1368683772161603e-13,11294,0,
2025-02-02,0,original,10051.822225611337,52461.15861320716,30,Optimal,0.806935100001283,False,False,1.4189058816782563e-09,1.8858372641261667e-09,0.0,0.0,7.366907084360719e-13,13133,0,
2025-02-02,6,rolling,10800.0,51551.34492868277,29,Optimal,0.4927330999926198,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,4.8544279707130045e-11,11380,0,
2025-02-02,18,rolling,10800.0,47446.37593323557,29,Optimal,0.6364586999989115,False,False,1.1368683772161603e-13,2.9842794901924208e-12,0.0,0.0,1.7053025658242404e-12,12339,0,
2025-02-03,0,original,10416.284219880006,49804.98284243935,30,Optimal,0.794278100001975,False,False,9.094947017729282e-12,3.637978807091713e-12,0.0,0.0,0.0,13266,0,
2025-02-03,6,rolling,10676.748786785487,49025.94267512979,30,Optimal,0.5084315999993123,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,2.2737367544323206e-13,11716,0,
2025-02-03,18,rolling,10649.617682685845,46082.023429366556,30,Optimal,0.5511686999961967,False,False,1.1368683772161603e-13,5.5564441936439835e-12,0.0,0.0,2.2737367544323206e-13,12337,0,
2025-02-04,0,original,9832.058610379805,50221.26007423991,30,Optimal,0.802279700001236,False,False,1.1368683772161603e-13,9.663381206337363e-13,0.0,0.0,0.0,14225,0,
