date,t,g0_kwh,geff_kwh,dp_charge_kwh,dp_discharge_kwh,dp_emergency_kwh,dp_unused_kwh,dp_soc_kwh,ana_charge_kwh,ana_discharge_kwh,ana_emergency_kwh,ana_unused_kwh,ana_soc_kwh
2025-02-01,1,1238.1322871989819,1238.1322871989819,816.101920532315,0.0,0.0,2.2737367544323206e-13,6734.491728479084,816.1019205323153,0.0,0.0,0.0,6734.491728479084
2025-02-01,2,1266.3993473430064,1266.3993473430064,833.3333333333333,0.0,0.0,17.65869734300645,7484.491728479084,833.3333333333334,0.0,0.0,17.658697343006338,7484.491728479084
2025-02-01,3,1272.5647362577877,1272.5647362577877,833.3333333333323,0.0,0.0,28.514736257788627,8234.491728479083,833.3333333333334,0.0,0.0,28.514736257787604,8234.491728479083
2025-02-01,4,1185.308536060911,1185.308536060911,755.0137360609107,0.0,0.0,3.410605131648481e-13,8914.004090933902,755.013736060911,0.0,0.0,0.0,8914.004090933902
2025-02-01,5,1232.327091582607,1232.327091582607,807.9165082492727,0.0,0.0,9.094947017729282e-13,9641.128948358248,807.9165082492736,0.0,0.0,0.0,9641.128948358248
2025-02-01,6,495.3917076958247,495.3917076958247,89.34004102915827,0.0,1.7053025658242404e-13,0.0,9721.53498528449,89.3400410291581,0.0,0.0,0.0,9721.53498528449
2025-02-01,7,488.75388922817507,488.75388922817507,52.00370589484211,0.0,3.694822225952521e-13,0.0,9768.338320589848,52.003705894841744,0.0,0.0,0.0,9768.338320589848
2025-02-01,8,450.4140628266874,450.4140628266874,0.0,1.3836205066456386,2.1604940059205546e-13,0.0,9766.800964471353,0.0,1.3836205066458547,0.0,0.0,9766.800964471353
2025-02-01,9,463.819750085014,463.819750085014,17.73975008501414,0.0,1.3145040611561853e-13,0.0,9782.766739547866,17.73975008501401,0.0,0.0,0.0,9782.766739547866
2025-02-01,10,508.16588392144865,508.16588392144865,36.39955058811514,0.0,0.0,2.0605739337042905e-13,9815.52633507717,36.399550588115346,0.0,0.0,0.0,9815.52633507717
2025-02-01,11,512.0694396460178,512.0694396460178,64.04347297935196,0.0,7.815970093361102e-13,0.0,9873.165460758586,64.04347297935118,0.0,0.0,0.0,9873.165460758586
2025-02-01,12,495.15549401630017,495.15549401630017,97.75216068296585,0.0,0.0,1.0089706847793423e-12,9961.142405373255,97.75216068296686,0.0,0.0,0.0,9961.142405373255
2025-02-01,13,495.38694212419,495.38694212419,61.29630879085703,0.0,3.339550858072471e-13,0.0,10016.309083285027,61.2963087908567,0.0,0.0,0.0,10016.309083285027
2025-02-01,14,491.0237354336756,491.0237354336756,0.462818767009594,0.0,6.252776074688882e-13,0.0,10016.725620175335,0.46281876700896873,0.0,0.0,0.0,10016.725620175335
2025-02-01,15,480.1590990764551,480.1590990764551,0.0,23.06090092354516,0.0,2.3803181647963356e-13,9991.102396926952,0.0,23.06090092354492,0.0,0.0,9991.102396926952
2025-02-01,16,501.80712105951847,501.80712105951847,27.73430439285221,0.0,3.979039320256561e-13,0.0,10016.063270880519,27.73430439285181,0.0,0.0,0.0,10016.063270880519
2025-02-01,17,527.9193234329225,527.9193234329225,66.53492343292277,0.0,2.2737367544323206e-13,0.0,10075.94470197015,66.53492343292254,0.0,0.0,0.0,10075.94470197015
