issue_date,issue_hour,window_position,absolute_date,absolute_t,pv_formal_kwh,pv_historical_kwh,actual_pv_kwh,error_formal_kwh,error_historical_kwh
2025-01-20,0,41,2025-01-20,41,12.256533333333332,3.9619254901960788,4.46085,-7.795683333333332,0.498924509803921
2025-01-20,0,42,2025-01-20,42,12.256533333333332,25.09538770053476,25.099999999999998,12.843466666666666,0.004612299465236447
2025-01-20,0,43,2025-01-20,43,133.96550833333333,64.96955035650625,61.12701666666666,-72.83849166666667,-3.842533689839584
2025-01-20,0,44,2025-01-20,44,133.96550833333333,111.69780267379679,98.61829999999999,-35.34720833333334,-13.079502673796796
2025-01-20,0,45,2025-01-20,45,133.96550833333333,159.9055815508021,134.6875,0.7219916666666677,-25.21808155080211
2025-01-20,0,46,2025-01-20,46,133.96550833333333,211.5548762923351,177.02301666666665,43.05750833333332,-34.53185962566846
2025-01-20,0,47,2025-01-20,47,133.96550833333333,256.19640721925134,217.63145,83.66594166666667,-38.56495721925134
2025-01-20,0,48,2025-01-20,48,133.96550833333333,296.2503676470588,257.2,123.23449166666666,-39.050367647058806
2025-01-20,0,49,2025-01-20,49,397.58105,345.80799233511584,304.6535833333333,-92.9274666666667,-41.15440900178254
2025-01-20,0,50,2025-01-20,50,397.58105,401.4279789661319,351.27098333333333,-46.31006666666667,-50.156995632798555
2025-01-20,0,51,2025-01-20,51,397.58105,458.2780080213903,394.03749999999997,-3.543550000000039,-64.24050802139033
2025-01-20,0,52,2025-01-20,52,397.58105,513.3358879679143,438.7632166666666,41.1821666666666,-74.57267130124774
2025-01-20,0,53,2025-01-20,53,397.58105,558.5810643493761,485.6854833333333,88.1044333333333,-72.8955810160428
2025-01-20,0,54,2025-01-20,54,397.58105,594.6468248663101,537.1999999999999,139.61894999999993,-57.44682486631018
2025-01-20,0,55,2025-01-20,55,719.5920333333333,630.7523274509804,593.8009333333333,-125.79110000000003,-36.951394117647055
2025-01-20,0,56,2025-01-20,56,719.5920333333333,670.4603744206773,635.0544,-84.53763333333336,-35.40597442067735
2025-01-20,0,57,2025-01-20,57,719.5920333333333,710.1849264705884,665.6374999999999,-53.954533333333416,-44.54742647058845
