cell,branch,price_family,short_rho,source_type,source_path,formal_days,total_cost_yuan,plan_cost_yuan,effective_base_cost_yuan,adjustment_transaction_yuan,adjustment_surcharge_yuan,emergency_cost_yuan,emergency_energy_kwh,adjust_abs_energy_kwh,terminal_soc_kwh,price_forecast_mae_yuan_per_kwh,price_forecast_rmse_yuan_per_kwh,price_forecast_bias_yuan_per_kwh,all_planning_statuses_optimal,max_billing_identity_residual_yuan,max_cross_day_soc_residual_kwh,max_dp_balance_residual_kwh,max_dp_soc_residual_kwh,max_planning_balance_residual_kwh,max_planning_soc_residual_kwh,validation_passed
42-net,4-2,net,0.95,reused_verified_official,D:\35043\MModle\code\output\q4,334,14249879.708761035,13460681.453312637,13460681.453312637,0.0,0.0,789198.2554483989,138964.62222707932,0.0,9863.35024795216,0.05370407740481139,0.07433732462711387,-0.0001797065680421972,True,1.4551915228366852e-11,0.0,1.0231815394945443e-12,1.1368683772161603e-13,1.8482069208403118e-09,2.051820047199726e-09,True
43-net,4-3,net,0.95,reused_verified_official,D:\35043\MModle\code\output\q4,334,13834165.69980434,13412779.016341997,13407572.720272083,84412.35462869631,89618.65069861218,336974.32883364597,67063.07164334577,240582.2710640688,9904.487919994348,0.05360571511621178,0.07422976191669321,0.0002051211143505797,True,1.4551915228366852e-11,0.0,1.0231815394945443e-12,1.1368683772161603e-13,1.2554850492563219e-09,1.1656631215828384e-09,True
42-ar,4-2,ar,0.95,isolated_fresh_run,D:\35043\MModle\code\output\q4_price_model_cross\ar,334,14248680.32933457,13448575.830245875,13448575.830245875,0.0,0.0,800104.499088695,141421.14584517834,0.0,9878.88628912608,0.07562158585676892,0.1006438602215535,-0.00017351422242560137,True,1.4551915228366852e-11,0.0,1.0231815394945443e-12,1.1368683772161603e-13,3.727350872395618e-09,4.140941811670018e-09,True
43-ar,4-3,ar,0.95,isolated_fresh_run,D:\35043\MModle\code\output\q4_price_model_cross\ar,334,13829033.981288766,13403838.52764468,13405492.935329078,90910.78726672052,89256.37958232415,334284.66637736437,67744.92767656357,238819.82471823145,9949.336733414217,0.07562158585676892,0.1006438602215535,-0.00017351422242560137,True,2.9103830456733704e-11,0.0,1.0231815394945443e-12,1.1368683772161603e-13,1.4136389836494345e-09,2.0855246418705065e-09,True
