effect_type,scope,formula,value_yuan,reference_yuan,percent_of_reference
family_effect_ar_minus_net,4-2,42-ar - 42-net,-1199.3794264644384,14249879.708761035,-0.008416768779648311
family_effect_ar_minus_net,4-3,43-ar - 43-net,-5131.718515573069,13834165.69980434,-0.037094528336071964
strategy_saving_42_minus_43,net,42-net - 43-net,415714.008956695,14249879.708761035,2.9173159174186427
strategy_saving_42_minus_43,ar,42-ar - 43-ar,419646.3480458036,14248680.32933457,2.9451593996522876
interaction_strategy_saving_ar_minus_net,2x2,(42-ar - 43-ar) - (42-net - 43-net),3932.339089108631,415714.008956695,0.9459241219648827
