date,method,load_mae_kwh,load_rmse_kwh,load_bias_forecast_minus_actual_kwh,pv_mae_kwh,pv_rmse_kwh,pv_bias_forecast_minus_actual_kwh
2025-02-01,baseline_recent3_equal_no_bias,238.547915007716,259.4564260128999,237.33980543981477,11.45126944444444,24.332649494109365,4.104668672839501
2025-02-01,main_weighted_plus_30day_bias,33.28318610903078,39.93319123833759,25.42941529791898,12.364374551187161,26.430797475825504,2.9838343641152907
2025-02-02,baseline_recent3_equal_no_bias,191.64755030864197,213.47746515488276,-191.64755030864197,11.40959000771606,21.819518283097604,-10.666642708333345
2025-02-02,main_weighted_plus_30day_bias,31.01439710932593,36.15587801450348,27.60151317190504,10.008469792718854,19.63919078321777,-8.588399098274408
2025-02-03,baseline_recent3_equal_no_bias,207.8477038966049,228.35882596047452,-207.8477038966049,13.69462897376543,26.585631080088515,-1.477397029320993
2025-02-03,main_weighted_plus_30day_bias,20.33788789328413,24.841702010408564,-0.44317740293507374,14.595529101080249,29.626071415794726,3.9548969742564535
2025-02-04,baseline_recent3_equal_no_bias,102.61607704475307,114.84186114444331,-102.12812179783948,18.355064699074077,36.01855575193833,15.078409375
2025-02-04,main_weighted_plus_30day_bias,18.674098776996214,23.18026521394042,5.062317247291558,20.93442358761224,39.698785131639475,17.410152937359708
2025-02-05,baseline_recent3_equal_no_bias,16.075270833333335,20.782114473862155,-0.19771481481481837,16.3354292824074,32.08588395391633,5.536596643518521
2025-02-05,main_weighted_plus_30day_bias,17.291747885265167,22.457632634746936,-4.084158330289176,16.517082999789558,33.44296327942366,3.2858769293630754
2025-02-06,baseline_recent3_equal_no_bias,20.395926504629642,27.234860669745185,-1.3507773533950749,10.935073996913589,22.027299870685972,-4.4689157407407425
2025-02-06,main_weighted_plus_30day_bias,21.168032028596258,27.604868920820177,-4.933276867892233,10.464591855008415,21.3451510452643,-3.5270104675224476
2025-02-07,baseline_recent3_equal_no_bias,317.8600814429012,348.0786705588092,317.8600814429012,28.291385956790123,57.10013584040348,-21.94850455246913
2025-02-07,main_weighted_plus_30day_bias,22.540878728721882,29.25099367612306,13.446288755377575,26.45042280127666,54.134404279648294,-17.503631214576316
2025-02-08,baseline_recent3_equal_no_bias,216.8102272762345,237.29003277483244,215.67472573302464,21.582502623456786,43.20640050761701,-11.393968055555556
2025-02-08,main_weighted_plus_30day_bias,21.868931779608168,28.318239436190588,2.2028341056217564,21.886400630260937,45.057280147635296,-4.429078203914132
2025-02-09,baseline_recent3_equal_no_bias,209.43556377314812,229.52927986834013,-209.43556377314812,22.671410763888886,44.92747194617297,10.500427662037035
2025-02-09,main_weighted_plus_30day_bias,19.027332228779358,23.52431966291714,-0.600952699898042,23.861683858375418,51.33123811130419,15.696266637556114
2025-02-10,baseline_recent3_equal_no_bias,210.57732762345677,230.2043952203651,-210.57732762345677,26.269791280864194,51.4235307058043,-25.29572021604938
2025-02-10,main_weighted_plus_30day_bias,18.537298038615532,24.055370868712956,-1.9726699995898305,28.292779444093703,55.583701601741865,-26.15312319549662
2025-02-11,baseline_recent3_equal_no_bias,105.88225135030865,117.66089383200963,-105.44349363425926,14.919478125000005,30.08883081621516,-12.38197712191358
2025-02-11,main_weighted_plus_30day_bias,16.50736944213559,20.619158588996434,-2.767904366206521,12.168231247544895,24.050247057616822,-3.6892497927188463
2025-02-12,baseline_recent3_equal_no_bias,15.459653587962956,19.13119417361946,0.8684978009259241,13.084896450617284,26.561919290168895,-6.776044521604938
2025-02-12,main_weighted_plus_30day_bias,15.854782486549185,19.499445191470695,-2.9985394521804047,11.628018644781145,23.045088246233096,1.074772502104375
2025-02-13,baseline_recent3_equal_no_bias,18.37781651234567,25.59498285491056,0.8144626543209859,25.33214837962963,45.65201992998988,-24.24464336419753
2025-02-13,main_weighted_plus_30day_bias,19.298226514796664,25.56855214792414,-3.1812916390998733,23.462091273849598,43.261155651424815,-22.144775380190794
2025-02-14,baseline_recent3_equal_no_bias,315.9664452932099,345.45230203444106,315.9664452932099,19.708187808641974,44.83839904456018,9.458559104938267
2025-02-14,main_weighted_plus_30day_bias,18.79748760833564,23.67956569547544,-2.9437367510619286,24.816216273148157,56.350542951615914,19.084741945145907
2025-02-15,baseline_recent3_equal_no_bias,210.51643009259254,230.62503313755494,209.22018009259253,13.6814138117284,27.00015908093704,4.225403086419753
2025-02-15,main_weighted_plus_30day_bias,21.273467953086325,27.32219451861978,-5.115643228408503,11.257953567269915,21.353706916103626,6.26618606867284
2025-02-16,baseline_recent3_equal_no_bias,209.70707854938271,230.71022636315593,-209.70707854938271,16.95772376543209,36.27931082141196,11.86876720679012
2025-02-16,main_weighted_plus_30day_bias,17.302335073788928,21.942121047499672,-3.2895564760923595,17.202545898569014,34.692510239568236,12.361145389309762
2025-02-17,baseline_recent3_equal_no_bias,207.58553464506173,226.5246282828929,-207.58553464506173,25.99123036265432,50.48346949943642,-24.501466396604933
2025-02-17,main_weighted_plus_30day_bias,17.661587212166165,22.467782364465187,-1.3971835138024358,24.66019406881313,49.98593374110318,-21.926898343504483
2025-02-18,baseline_recent3_equal_no_bias,105.94560497685184,119.90366635701477,-105.79146145833333,16.99667723765431,35.740805627173174,-12.196947608024686
2025-02-18,main_weighted_plus_30day_bias,19.137825685265206,24.669282719262316,-5.483224055497109,14.367147414421993,29.38798840185684,-3.480361757856337
2025-02-19,baseline_recent3_equal_no_bias,19.99950011574074,25.13642556632805,-4.7031505015432105,19.49379077932099,38.71204219533973,-4.737057677469134
2025-02-19,main_weighted_plus_30day_bias,20.949349493439783,26.763048670713854,-8.10768157340838,20.079231875350732,37.23607787848877,2.830353119739067
2025-02-20,baseline_recent3_equal_no_bias,19.65389776234568,26.514508130018516,1.9506182098765383,17.797442438271606,34.469799648620466,-5.3993288580246945
2025-02-20,main_weighted_plus_30day_bias,20.75134720547427,27.93618192293046,-0.37263085388072287,18.53990458193041,36.7833139326249,-2.178184445847353
2025-02-21,baseline_recent3_equal_no_bias,316.89193584104936,347.98648515971576,316.89193584104936,9.116197723765442,17.247908290912715,-5.522561381172855
2025-02-21,main_weighted_plus_30day_bias,19.123927728143936,23.27349122992033,-2.574078050668492,7.650112973134118,15.356844174748225,-0.7203642469837264
2025-02-22,baseline_recent3_equal_no_bias,213.84078638117282,233.81598786087267,212.33177403549382,17.108531983024687,32.251597967033526,13.492805285493821
2025-02-22,main_weighted_plus_30day_bias,21.76576271195106,28.255286258944306,-2.530821080662768,20.988912772166103,38.94879085620132,19.01794631804152
2025-02-23,baseline_recent3_equal_no_bias,210.27065154320988,231.5557064366344,-210.27065154320988,15.82426141975308,31.942413200981186,-1.480368209876543
2025-02-23,main_weighted_plus_30day_bias,18.35864365493188,23.81495794297974,-1.8004181343983854,15.745256594767113,31.240443558390925,-0.6869372751823698
2025-02-24,baseline_recent3_equal_no_bias,206.62171392746913,229.24969438825227,-206.62171392746913,24.57515486111111,46.06698429617293,-22.19527353395062
2025-02-24,main_weighted_plus_30day_bias,19.71150740363299,24.77848672867202,0.7107784118671453,23.86382061026936,45.662137579586194,-18.32010291736812
2025-02-25,baseline_recent3_equal_no_bias,106.56379683641975,117.68862560179473,-106.08015486111111,36.907829050925926,67.93281157497425,-36.903489313271606
2025-02-25,main_weighted_plus_30day_bias,19.131348432657706,23.523124751504284,-5.46339722112203,27.283819464436018,53.179860142761896,-27.099153673190226
2025-02-26,baseline_recent3_equal_no_bias,18.05743738425926,22.8705861718258,-0.7355092206790097,15.801250501543214,27.207400493814408,1.320818479938274
2025-02-26,main_weighted_plus_30day_bias,19.11136014360024,24.424419602737142,-4.226532237651916,18.602257802679578,33.544611676140974,13.774950123106073
2025-02-27,baseline_recent3_equal_no_bias,17.63881207561728,25.76071749486687,2.2791406249999975,23.033461959876547,43.445206263294104,-2.2797766975308713
2025-02-27,main_weighted_plus_30day_bias,18.802722275078,27.11267608740992,-0.7156818682611699,23.829486257014594,46.26522885638213,0.9324950308641983
2025-02-28,baseline_recent3_equal_no_bias,316.19961130401236,346.8631956349852,316.19961130401236,20.046439583333324,43.97286908518102,11.303836265432093
2025-02-28,main_weighted_plus_30day_bias,18.207288381717333,23.18599149521942,-0.7681968513261519,22.53958555134679,51.90762317221441,15.281949001823794
2025-03-01,baseline_recent3_equal_no_bias,233.30095034722223,254.11410786181847,232.20567256944443,31.346391666666666,66.2358882595319,28.298894830246912
2025-03-01,main_weighted_plus_30day_bias,30.3768929961687,39.12740411048647,18.76953590042577,33.175788643027495,69.4100952751971,31.28979880085578
2025-03-02,baseline_recent3_equal_no_bias,197.57521809413578,217.91913587600254,-197.57521809413578,45.83665285493826,93.27038232773633,41.2372298611111
2025-03-02,main_weighted_plus_30day_bias,27.289084335077213,34.63045088370677,16.55555816688101,42.42204549172277,88.42550058594328,37.34377462752524
2025-03-03,baseline_recent3_equal_no_bias,204.59849911265434,225.16214274982045,-204.59849911265434,22.893986574074074,44.56326322036163,19.34079104938272
2025-03-03,main_weighted_plus_30day_bias,20.932775887416476,25.849111867631244,0.7467096171008332,23.98445781355218,43.739971355669525,13.097628531846238
2025-03-04,baseline_recent3_equal_no_bias,107.30035212191359,117.06616910386312,-107.30035212191359,20.12304209104938,38.448780038092586,-15.7166619212963
