date,t,source_right_end_label,physical_interval,price_yuan_per_kwh,actual_load_kwh,actual_pv_kwh,forecast_load_kwh,forecast_pv_kwh,plan_grid_kwh,dp_charge_kwh,dp_discharge_kwh,dp_emergency_kwh,dp_unused_kwh,dp_end_soc_kwh,analytical_charge_kwh,analytical_discharge_kwh,analytical_emergency_kwh,analytical_unused_kwh,analytical_end_soc_kwh
2025-02-01,15,02:30,2:20-2:30,0.4367,503.22,0.0,495.0223267425968,0.0,491.3044599407037,0.0,11.915540059296655,0.0,0.0,10063.338602956963,0.0,11.915540059296347,0.0,0.0,10063.338602956963
2025-02-01,16,02:40,2:30-2:40,0.4348,474.07281666666665,0.0,502.3424134943287,0.0,511.51016349432876,37.43734682766242,0.0,0.0,0.0,10097.032215101859,37.43734682766211,0.0,0.0,0.0,10097.032215101859
2025-02-01,17,02:50,2:40-2:50,0.4335,461.38439999999997,0.0,515.1785636296253,0.0,526.9349136296254,65.55051362962533,0.0,0.0,0.0,10156.027677368522,65.55051362962541,0.0,0.0,0.0,10156.027677368522
2025-02-01,18,03:00,2:50-3:00,0.4357,476.94166666666666,0.0,536.0565418516878,0.0,544.023917036627,67.0822503699613,0.0,0.0,0.0,10216.401702701487,67.08225036996038,0.0,0.0,0.0,10216.401702701487
2025-02-01,19,03:10,3:00-3:10,0.4374,483.39955,0.0,549.3007353224277,0.0,551.841074203551,37.33144144279221,0.0,0.0,31.1100827607588,10250.0,68.44152420355101,0.0,0.0,0.0,10277.999074484684
2025-02-01,20,03:20,3:10-3:20,0.4371,486.6019166666666,0.0,537.717616079865,0.0,558.7581184326706,11.11111111111111,0.0,0.0,61.045090654892846,10260.0,72.15620176600396,0.0,0.0,0.0,10342.939656074088
2025-02-01,21,03:30,3:20-3:30,0.4356,498.84833333333336,0.0,509.3891363416288,0.0,527.6246795499198,0.0,0.0,0.0,28.77634621658649,10260.0,28.77634621658649,0.0,0.0,0.0,10368.838367669015
2025-02-01,22,03:40,3:30-3:40,0.4353,518.3097333333333,0.0,494.1257620411398,0.0,512.2881506291478,0.0,6.0215827041856755,0.0,0.0,10253.309352550905,0.0,6.021582704185448,0.0,0.0,10362.14772021992
2025-02-01,23,03:50,3:40-3:50,0.436,509.13346666666666,0.0,506.0239491963704,0.0,496.4357634203126,0.0,12.697703246354468,0.0,0.0,10239.200793388289,0.0,12.69770324635408,0.0,0.0,10348.039161057304
2025-02-01,24,04:00,3:50-4:00,0.4378,483.6166666666666,0.0,537.2465277028168,0.0,537.6388044648667,0.0,0.0,0.0,54.02213779820005,10239.200793388289,54.02213779820005,0.0,0.0,0.0,10396.659085075684
2025-02-01,25,04:10,4:00-4:10,0.4401,491.1868,0.0,561.4017740348982,0.0,562.9800396912951,0.0,0.0,0.0,71.79323969129513,10239.200793388289,71.79323969129513,0.0,0.0,0.0,10461.27300079785
2025-02-01,26,04:20,4:10-4:20,0.4389,504.64528333333334,0.0,550.8051148169533,0.0,563.7524310421022,0.0,0.0,0.0,59.10714770876888,10239.200793388289,59.10714770876888,0.0,0.0,0.0,10514.469433735741
