date,shared_plan_energy_kwh,shared_plan_cost_yuan,analytical_emergency_energy_kwh,analytical_emergency_cost_yuan,analytical_total_cost_yuan,dp_emergency_energy_kwh,dp_emergency_cost_yuan,dp_total_cost_yuan,dp_saving_yuan,dp_saving_rate_percent
2025-02-01,46658.547602214734,23911.83046659355,0.0,0.0,23911.83046659355,0.0,0.0,23911.83046659355,0.0,0.0
2025-02-02,89014.48871424736,56742.025197507166,0.0,0.0,56742.025197507166,0.0,0.0,56742.025197507166,0.0,0.0
2025-02-03,84470.13840407736,53582.24085287055,0.0,0.0,53582.24085287055,0.0,0.0,53582.24085287055,0.0,0.0
2025-02-04,84993.37781206948,53713.48513548878,788.000228990697,5361.860785024354,59075.34592051314,788.000228990697,4204.158317525385,57917.64345301416,1157.7024674989734,1.9597049318283832
2025-02-05,85742.22397713142,54264.62687962953,237.24583512049352,1185.9576791161296,55450.584558745664,237.2458351204942,1174.2126791161336,55438.83955874567,11.744999999995343,0.02118102107210865
2025-02-06,85662.28025119627,54255.394067050074,18.07054878368797,105.48975877344611,54360.88382582352,18.070548783689333,105.48975877345407,54360.88382582353,-7.275957614183426e-12,-1.3384546206967785e-14
2025-02-07,40961.20888122152,21259.965095949494,0.0,0.0,21259.965095949494,0.0,0.0,21259.965095949494,0.0,0.0
2025-02-08,37654.3760698033,19644.198291026747,0.0,0.0,19644.198291026747,0.0,0.0,19644.198291026747,0.0,0.0
2025-02-09,82631.95468798216,52131.19916518814,941.8730274525066,6474.575911587838,58605.77507677598,941.8730274525055,4662.72274725575,56793.92191244389,1811.8531643320894,3.0915949186893052
2025-02-10,83754.10275629433,52721.840890643834,0.0,0.0,52721.840890643834,0.0,0.0,52721.840890643834,0.0,0.0
2025-02-11,81052.71521272963,50771.2164592317,0.0,0.0,50771.2164592317,0.0,0.0,50771.2164592317,0.0,0.0
2025-02-12,80194.51125142467,50313.9143395947,42.94515572213561,178.5555743729614,50492.46991396767,42.94515572213561,178.5555743729614,50492.46991396767,0.0,0.0
2025-02-13,79950.61282731415,50156.4177874432,0.0,0.0,50156.4177874432,0.0,0.0,50156.4177874432,0.0,0.0
2025-02-14,35330.60085407627,18410.336177454454,53.485177760775045,290.33134469018273,18700.667522144635,53.485177760775045,290.33134469018273,18700.667522144635,0.0,0.0
2025-02-15,35795.296061561094,18670.13211344257,60.755752022498044,278.26365924428046,18948.39577268685,75.49190652250093,347.309911154044,19017.442024596614,-69.04625190976367,-0.3643910162003811
2025-02-16,79753.00488663148,49549.27024240233,301.7464225813311,1904.6109665540575,51453.88120895639,301.7464225813329,1711.1928271639422,51260.46306956627,193.41813939011627,0.3759058303194603
2025-02-17,80724.91133582089,50278.98983265794,0.0,0.0,50278.98983265794,0.0,0.0,50278.98983265794,0.0,0.0
2025-02-18,78141.57855814733,48441.62847413693,0.0,0.0,48441.62847413693,0.0,0.0,48441.62847413693,0.0,0.0
2025-02-19,77349.64625570727,47951.08467806474,558.200624786618,2693.226897635636,50644.311575700376,558.2006247866179,2693.2268976356354,50644.311575700376,0.0,0.0
2025-02-20,78123.17199767393,48502.172493304985,0.0591998650294272,0.277292167797837,48502.44978547278,0.05919986503010932,0.27729216780103205,48502.44978547279,-7.275957614183426e-12,-1.500121673516517e-14
2025-02-21,34397.501167769224,17851.205380106756,53.40389099939462,294.091878731297,18145.297258838054,53.40389099939458,278.81694933072987,18130.022329437485,15.274929400569818,0.08418120233951988
2025-02-22,34316.0201948537,17631.936488056428,241.21330636969833,1474.5369418379657,19106.473429894395,250.1428813696979,1529.1234338129632,19161.05992186939,-54.586491974994715,-0.2856963226378947
